YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-24,A,0.167,C000024,A,C000024A,000+0.000,000+0.167,0.0,0.167,32-3B-005,,,E,7502.25,51.0,,37.0,474.0,230.0,6.0,,4.0,57.0,28.0,UPA,3054.0,10.0,138.0,223.0,223.0,319.0,319.0,,2.0,,MISSOULA,,ENT N-24A,0.982,3.086,C000024_000+0.000_000+0.167_N-24,,MT-200,NI-NHS,4,2,MISSOULA,2.0,1252.8757500000002,0.4,18755.625,3132.1893750000004,,MT-200
2023.0,N-24,A,0.913,C000024,A,C000024A,000+0.167,000+1.080,0.167,1.08,32-3B-005,,,E,7502.25,51.0,,37.0,474.0,230.0,6.0,,4.0,57.0,28.0,UPA,3054.0,10.0,138.0,223.0,223.0,319.0,319.0,,2.0,,MISSOULA,JCT I-90 ON RAMP BONNER INTERCHANGE,JCT I-90 ON RAMP BONNER INTERCHANGE,0.982,3.086,C000024_000+0.167_000+1.080_N-24,,MT-200,NI-NHS,4,30,MISSOULA,30.0,6849.55425,6.0,1250.375,1141.592375,,MT-200
2023.0,N-24,A,0.698,C000024,A,C000024A,000+1.080,000+1.777,1.08,1.777,32-3B-006,,,A,7247.75,51.0,,37.0,474.0,230.0,7.0,,5.0,68.0,33.0,UPA,3054.0,10.0,138.0,221.0,221.0,317.0,317.0,,2.0,,MISSOULA,JCT U-8133,JCT U-8133,0.982,3.086,C000024_000+1.080_000+1.777_N-24,,MT-200,NI-NHS,4,17,MISSOULA,17.0,5058.929499999999,3.4,2131.6911764705883,1487.9204411764704,,MT-200
2023.0,N-24,A,1.777,C000024,A,C000024A,000+1.777,002+0.564,1.777,3.554,32-3B-011,,,A,5862.75,51.0,,37.0,474.0,230.0,9.0,,6.0,83.0,40.0,UPA,3054.0,10.0,138.0,220.0,220.0,316.0,316.0,,2.0,,MISSOULA,,,0.982,3.086,C000024_000+1.777_002+0.564_N-24,,MT-200,NI-NHS,4,8,MISSOULA,8.0,10418.10675,1.6,3664.21875,6511.316718749999,,MT-200
2023.0,N-24,A,13.712,C000024,A,C000024A,002+0.564,016+0.459,3.554,17.266,A-015,Yes,,A,4602.0,51.0,,37.0,474.0,230.0,11.0,,8.0,102.0,50.0,RPA_1,3054.0,10.0,138.0,219.0,219.0,315.0,315.0,,2.0,,MISSOULA,,,0.982,3.086,C000024_002+0.564_016+0.459_N-24,,MT-200,NI-NHS,4,133,MISSOULA,133.0,63102.624,26.6,173.00751879699249,2372.279097744361,,MT-200
2023.0,N-24,A,5.923,C000024,A,C000024A,016+0.459,022+0.364,17.266,23.189,32-4-002,,,E,3607.25,13.0,,20.0,211.0,162.0,3.0,,5.0,54.0,41.0,RPA_1,3092.0,10.0,157.0,114.0,114.0,174.0,174.0,,2.0,,MISSOULA,,,2.934,8.313,C000024_016+0.459_022+0.364_N-24,,MT-200,NI-NHS,4,50,MISSOULA,50.0,21365.74175,10.0,360.725,2136.574175,,MT-200
2023.0,N-24,A,2.666,C000024,A,C000024A,022+0.364,025+0.131,23.189,25.855,32-4-002,,,E,3607.25,13.0,,20.0,211.0,162.0,3.0,,5.0,54.0,41.0,RPA_1,3092.0,10.0,157.0,114.0,114.0,174.0,174.0,,3.0,,MISSOULA,,BEGIN 3 LANES,2.934,8.313,C000024_022+0.364_025+0.131_N-24,,MT-200,NI-NHS,4,30,MISSOULA,30.0,9616.9285,6.0,601.2083333333334,1602.821416666667,,MT-200
2023.0,N-24,A,1.635,C000024,A,C000024A,025+0.131,026+0.774,25.855,27.49,32-4-002,,,E,3607.25,13.0,,20.0,211.0,162.0,3.0,,5.0,54.0,41.0,RPA_1,3092.0,10.0,157.0,114.0,114.0,174.0,174.0,,2.0,,MISSOULA,,BEGIN 2 LANES,2.934,8.313,C000024_025+0.131_026+0.774_N-24,,MT-200,NI-NHS,4,19,MISSOULA,19.0,5897.85375,3.8,949.2763157894738,1552.0667763157896,,MT-200
2023.0,N-24,A,0.16,C000024,A,C000024A,026+0.774,026+0.934,27.49,27.65,W-132,Yes,,A,3114.5,13.0,,20.0,211.0,162.0,4.0,,7.0,69.0,53.0,RPA_1,3092.0,10.0,157.0,114.0,114.0,174.0,174.0,,2.0,,MISSOULA,,,1.677,4.193,C000024_026+0.774_026+0.934_N-24,,MT-200,NI-NHS,4,2,MISSOULA,2.0,498.32,0.4,7786.25,1245.8,,MT-200
2023.0,N-24,A,1.137,C000024,A,C000024A,026+0.934,028+0.073,27.65,28.787,W-132,Yes,,A,3114.5,13.0,,20.0,211.0,162.0,4.0,,7.0,69.0,53.0,RPA_1,3092.0,10.0,157.0,114.0,114.0,174.0,174.0,,3.0,,MISSOULA,,BEGIN 3 LANES,1.677,4.193,C000024_026+0.934_028+0.073_N-24,,MT-200,NI-NHS,4,6,MISSOULA,6.0,3541.1865000000003,1.2,2595.416666666667,2950.9887500000004,,MT-200
2023.0,N-24,A,1.344,C000024,A,C000024A,028+0.073,029+0.420,28.787,30.131,W-132,Yes,,A,3114.5,13.0,,20.0,211.0,162.0,4.0,,7.0,69.0,53.0,RPA_1,3092.0,10.0,157.0,114.0,114.0,174.0,174.0,,2.0,,MISSOULA,,BEGIN 2 LANES,1.677,4.193,C000024_028+0.073_029+0.420_N-24,,MT-200,NI-NHS,4,14,MISSOULA,14.0,4185.888,2.8,1112.321428571429,1494.96,,MT-200
2023.0,N-24,A,0.682,C000024,A,C000024A,029+0.420,030+0.098,30.131,30.813,W-132,Yes,,A,3114.5,13.0,,20.0,211.0,162.0,4.0,,7.0,69.0,53.0,RPA_1,3092.0,10.0,157.0,114.0,114.0,174.0,174.0,,3.0,,MISSOULA,,BEGIN 3 LANES,1.677,4.193,C000024_029+0.420_030+0.098_N-24,,MT-200,NI-NHS,4,2,MISSOULA,2.0,2124.089,0.4,7786.25,5310.2225,,MT-200
