YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,P-83,A,12.695,C000083,A,C000083A,014+0.960,027+0.748,14.995,27.69,32-2-001,,,E,1735.5,16.0,,14.0,157.0,99.0,9.0,,8.0,86.0,55.0,REC_MA,4132.0,10.0,203.0,71.0,71.0,107.0,107.0,,2.0,,MISSOULA,,,0.192,0.192,C000083_014+0.960_027+0.748_P-83,,MT-83,Primary,4,64,MISSOULA,64.0,22032.1725,12.8,135.5859375,1721.2634765625,,MT-83
2023.0,P-83,A,14.421,C000083,A,C000083A,027+0.748,042+0.164,27.69,42.11,32-2-002,,,E,1216.75,16.0,,14.0,157.0,99.0,11.0,,10.0,113.0,71.0,REC_MA,4132.0,10.0,203.0,71.0,71.0,107.0,107.0,,2.0,,MISSOULA,,,0.192,0.192,C000083_027+0.748_042+0.164_P-83,,MT-83,Primary,4,63,MISSOULA,63.0,17546.75175,12.6,96.56746031746032,1392.599345238095,,MT-83
2023.0,P-83,A,5.584,C000083,A,C000083A,042+0.164,047+0.759,42.11,47.694,32-2-003,,,E,1241.0,16.0,,14.0,157.0,99.0,11.0,,10.0,109.0,69.0,REC_MA,4132.0,10.0,203.0,71.0,71.0,107.0,107.0,,2.0,,MISSOULA,,,4.469,5.587,C000083_042+0.164_047+0.759_P-83,,MT-83,Primary,4,17,MISSOULA,17.0,6929.744,3.4,365.0,2038.16,,MT-83
2023.0,P-83,A,0.514,C000083,A,C000083A,047+0.759,048+0.276,47.694,48.208,32-2-003,,,E,1241.0,16.0,,14.0,157.0,99.0,11.0,,10.0,109.0,69.0,REC_MA,4132.0,10.0,203.0,71.0,71.0,107.0,107.0,,2.0,,LAKE,,,4.469,5.587,C000083_047+0.759_048+0.276_P-83,,MT-83,Primary,4,0,LAKE,,637.874,0.0,,,,MT-83
2023.0,P-83,A,6.589,C000083,A,C000083A,048+0.276,054+0.870,48.208,54.798,24-2-010,,,E,1129.0,15.0,,11.0,105.0,76.0,12.0,,9.0,81.0,59.0,REC_MA,4133.0,10.0,137.0,42.0,42.0,60.0,60.0,,2.0,,LAKE,,,3.012,5.422,C000083_048+0.276_054+0.870_P-83,,MT-83,Primary,4,46,LAKE,46.0,7438.981000000001,9.2,122.71739130434784,808.5848913043479,,MT-83
2023.0,P-83,A,13.257,C000083,A,C000083A,054+0.870,068+0.213,54.798,68.055,24-2-011,,,E,1077.5,15.0,,11.0,105.0,76.0,12.0,,9.0,84.0,61.0,REC_MA,4133.0,10.0,137.0,42.0,42.0,60.0,60.0,,2.0,,LAKE,,,3.012,5.422,C000083_054+0.870_068+0.213_P-83,,MT-83,Primary,4,51,LAKE,51.0,14284.4175,10.2,105.6372549019608,1400.4330882352942,,MT-83
2023.0,P-83,A,10.974,C000083,A,C000083A,068+0.213,078+0.913,68.055,79.029,24-2-012,,,E,1236.0,15.0,,11.0,105.0,76.0,11.0,,8.0,75.0,55.0,REC_MA,4133.0,10.0,137.0,42.0,42.0,60.0,60.0,,2.0,,LAKE,,,3.012,5.422,C000083_068+0.213_078+0.913_P-83,,MT-83,Primary,4,59,LAKE,59.0,13563.864,11.8,104.7457627118644,1149.4799999999998,,MT-83
2023.0,P-83,A,3.56,C000083,A,C000083A,078+0.913,082+0.644,79.029,82.589,24-2-013,,,E,2657.5,15.0,,11.0,105.0,76.0,6.0,,5.0,44.0,32.0,REC_MA,4133.0,10.0,137.0,43.0,43.0,61.0,61.0,,2.0,,LAKE,,,3.047,1.939,C000083_078+0.913_082+0.644_P-83,,MT-83,Primary,4,40,LAKE,40.0,9460.7,8.0,332.1875,1182.5875,,MT-83
2023.0,P-83,A,0.004,C000083,A,C000083A,082+0.644,082+0.648,82.589,82.593,24-2-013,,,E,2657.5,15.0,,11.0,105.0,76.0,6.0,,5.0,44.0,32.0,REC_MA,4133.0,10.0,137.0,43.0,43.0,61.0,61.0,,2.0,,FLATHEAD,,,3.047,1.939,C000083_082+0.644_082+0.648_P-83,,MT-83,Primary,4,0,FLATHEAD,,10.63,0.0,,,,MT-83
2023.0,P-83,A,5.688,C000083,A,C000083A,082+0.648,088+0.366,82.593,88.281,15-7-011,,,E,2642.25,15.0,,11.0,105.0,76.0,6.0,,4.0,39.0,28.0,RMA_RMC_12,4133.0,10.0,137.0,44.0,44.0,61.0,61.0,,2.0,,FLATHEAD,JCT S-209,JCT S-209,4.49,2.857,C000083_082+0.648_088+0.366_P-83,,MT-83,Primary,4,51,FLATHEAD,51.0,15029.118,10.2,259.04411764705884,1473.4429411764706,,MT-83
