YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-1,A,1.395,C000001,A,C000001A,404+0.405,405+0.835,403.811,405.206,03-3-003,,,E,2356.25,8.0,,23.0,198.0,135.0,3.0,,10.0,85.0,58.0,RPA_3,3012.0,10.0,114.0,85.0,85.0,127.0,127.0,,2.0,,BLAINE,,,3.139,4.933,C000001_404+0.405_405+0.835_N-1,,US-2,NI-NHS,4,8,BLAINE,8.0,3286.96875,1.6,1472.65625,2054.35546875,,US-2
2023.0,N-1,A,7.173,C000001,A,C000001A,405+0.835,413+0.019,405.206,412.379,03-3-004,,,E,2098.75,8.0,,23.0,198.0,135.0,4.0,,11.0,92.0,63.0,RPA_3,3012.0,10.0,114.0,85.0,85.0,127.0,127.0,,2.0,,BLAINE,JCT S-325,JCT S-325,3.139,4.933,C000001_405+0.835_413+0.019_N-1,,US-2,NI-NHS,4,43,BLAINE,43.0,15054.33375,8.6,244.04069767441865,1750.5039244186048,,US-2
2023.0,N-1,A,11.041,C000001,A,C000001A,413+0.019,423+1.003,412.379,423.42,03-4-004,,,E,1938.5,8.0,,23.0,198.0,135.0,4.0,,12.0,102.0,69.0,RPA_3,3012.0,10.0,114.0,85.0,85.0,127.0,127.0,,2.0,,BLAINE,,,3.139,4.933,C000001_413+0.019_423+1.003_N-1,,US-2,NI-NHS,4,31,BLAINE,31.0,21402.9785,6.2,312.6612903225806,3452.093306451613,,US-2
2023.0,N-1,A,1.601,C000001,A,C000001A,423+1.003,425+0.605,423.42,425.02,03-4-008,,,E,3314.0,8.0,,23.0,198.0,135.0,2.0,,7.0,60.0,41.0,RPA_3,3012.0,10.0,114.0,87.0,87.0,128.0,128.0,,2.0,,BLAINE,,,3.139,4.933,C000001_423+1.003_425+0.605_N-1,,US-2,NI-NHS,4,5,BLAINE,5.0,5305.714,1.0,3314.0,5305.714,,US-2
2023.0,N-1,A,2.914,C000001,A,C000001A,425+0.605,428+0.540,425.02,427.934,03-4-008,,,E,3314.0,8.0,,23.0,198.0,135.0,2.0,,7.0,60.0,41.0,RPA_3,3012.0,10.0,114.0,87.0,87.0,128.0,128.0,,2.0,,BLAINE,JCT S-241,JCT S-241,3.139,4.933,C000001_425+0.605_428+0.540_N-1,,US-2,NI-NHS,4,8,BLAINE,8.0,9656.996,1.6,2071.25,6035.6225,,US-2
2023.0,N-1,A,7.142,C000001,A,C000001A,428+0.540,436+0.492,427.934,435.076,03-4-009,,,E,1377.25,7.0,,1.0,212.0,172.0,4.0,,1.0,135.0,110.0,RPA_3,3013.0,10.0,109.0,90.0,90.0,134.0,134.0,,2.0,,BLAINE,JCT P-66,JCT P-66,3.759,19.549,C000001_428+0.540_436+0.492_N-1,,US-2,NI-NHS,4,7,BLAINE,7.0,9836.3195,1.4,983.75,7025.9425,,US-2
2023.0,N-1,A,9.776,C000001,A,C000001A,436+0.492,446+0.272,435.076,444.852,03-4-010,,,E,1171.5,7.0,,1.0,212.0,172.0,5.0,,1.0,160.0,130.0,RPA_3,3013.0,10.0,109.0,89.0,89.0,134.0,134.0,,2.0,,BLAINE,,,3.759,19.549,C000001_436+0.492_446+0.272_N-1,,US-2,NI-NHS,4,8,BLAINE,8.0,11452.584,1.6,732.1875,7157.864999999999,,US-2
2023.0,N-1,A,4.538,C000001,A,C000001A,446+0.272,450+0.804,444.852,449.39,03-4-010,,,E,1171.5,7.0,,1.0,212.0,172.0,5.0,,1.0,160.0,130.0,RPA_3,3013.0,10.0,109.0,89.0,89.0,134.0,134.0,,2.0,,PHILLIPS,,,3.759,19.549,C000001_446+0.272_450+0.804_N-1,,US-2,NI-NHS,4,4,PHILLIPS,4.0,5316.267000000001,0.8,1464.375,6645.333750000001,,US-2
2023.0,N-1,A,2.399,C000001,A,C000001A,450+0.804,453+0.207,449.39,451.789,36-3-001,,,E,1143.75,7.0,,1.0,212.0,172.0,6.0,,1.0,169.0,137.0,RPA_45,3013.0,10.0,109.0,89.0,89.0,134.0,134.0,,2.0,,PHILLIPS,,,3.676,7.353,C000001_450+0.804_453+0.207_N-1,,US-2,NI-NHS,4,5,PHILLIPS,5.0,2743.85625,1.0,1143.75,2743.85625,,US-2
2023.0,N-1,A,0.669,C000001,A,C000001A,453+0.207,453+0.876,451.789,452.457,36-3-010,,,E,1241.5,7.0,,1.0,212.0,172.0,5.0,,1.0,157.0,127.0,RPA_45,3013.0,10.0,109.0,89.0,89.0,134.0,134.0,,2.0,,PHILLIPS,,,3.759,19.549,C000001_453+0.207_453+0.876_N-1,,US-2,NI-NHS,4,0,PHILLIPS,,830.5635000000001,0.0,,,,US-2
2023.0,N-1,A,8.306,C000001,A,C000001A,453+0.876,462+0.400,452.457,460.763,36-3-002,,,E,1181.5,7.0,,1.0,212.0,172.0,6.0,,1.0,169.0,137.0,RPA_45,3013.0,10.0,109.0,89.0,89.0,134.0,134.0,,2.0,,PHILLIPS,JCT S-204 (STAGE RD),JCT S-204 (STAGE RD),3.759,19.549,C000001_453+0.876_462+0.400_N-1,,US-2,NI-NHS,4,9,PHILLIPS,9.0,9813.539,1.8,656.3888888888889,5451.96611111111,,US-2
2023.0,N-1,A,9.151,C000001,A,C000001A,462+0.400,471+0.609,460.763,469.913,36-3-003,,,A,1371.25,7.0,,1.0,212.0,172.0,5.0,,1.0,144.0,117.0,RPA_45,3013.0,10.0,109.0,89.0,89.0,134.0,134.0,,2.0,,PHILLIPS,JCT S-363,JCT S-363,3.759,19.549,C000001_462+0.400_471+0.609_N-1,,US-2,NI-NHS,4,16,PHILLIPS,16.0,12548.30875,3.2,428.515625,3921.346484375,,US-2
