YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-1,A,0.986,C000001,A,C000001A,279+0.787,280+0.768,279.267,280.253,51-3-013,,,E,1521.75,8.0,,9.0,184.0,145.0,5.0,,6.0,115.0,91.0,RPA_3,3008.0,10.0,108.0,105.0,105.0,162.0,162.0,,2.0,,TOOLE,,,8.871,14.516,C000001_279+0.787_280+0.768_N-1,,US-2,NI-NHS,4,2,TOOLE,2.0,1500.4455,0.4,3804.375,3751.11375,,US-2
2023.0,N-1,A,0.416,C000001,A,C000001A,280+0.768,281+0.201,280.253,280.669,51-3-006,,,E,1107.5,8.0,,9.0,184.0,145.0,6.0,,7.0,149.0,118.0,RPA_3,3008.0,10.0,108.0,104.0,104.0,162.0,162.0,,2.0,,TOOLE,,,8.871,14.516,C000001_280+0.768_281+0.201_N-1,,US-2,NI-NHS,4,1,TOOLE,1.0,460.72,0.2,5537.5,2303.6,,US-2
2023.0,N-1,A,0.551,C000001,A,C000001A,281+0.201,281+0.752,280.669,281.22,51-3-006,,,E,1107.5,8.0,,9.0,184.0,145.0,6.0,,7.0,149.0,118.0,RPA_3,3008.0,10.0,108.0,104.0,104.0,162.0,162.0,,3.0,,TOOLE,,BEGIN 3 LANES,8.871,14.516,C000001_281+0.201_281+0.752_N-1,,US-2,NI-NHS,4,1,TOOLE,1.0,610.2325000000001,0.2,5537.5,3051.1625000000004,,US-2
2023.0,N-1,A,3.176,C000001,A,C000001A,281+0.752,284+0.913,281.22,284.395,51-3-006,,,E,1107.5,8.0,,9.0,184.0,145.0,6.0,,7.0,149.0,118.0,RPA_3,3008.0,10.0,108.0,104.0,104.0,162.0,162.0,,2.0,,TOOLE,,BEGIN 2 LANES,8.871,14.516,C000001_281+0.752_284+0.913_N-1,,US-2,NI-NHS,4,5,TOOLE,5.0,3517.42,1.0,1107.5,3517.42,,US-2
2023.0,N-1,A,4.009,C000001,A,C000001A,284+0.913,288+0.916,284.395,288.405,51-3-007,,,E,1024.0,9.0,,7.0,207.0,170.0,9.0,,7.0,196.0,161.0,RPA_3,3009.0,10.0,119.0,117.0,117.0,178.0,178.0,,2.0,,TOOLE,JCT S-417,JCT S-417,6.061,12.121,C000001_284+0.913_288+0.916_N-1,,US-2,NI-NHS,4,2,TOOLE,2.0,4105.216,0.4,2560.0,10263.04,,US-2
2023.0,N-1,A,8.766,C000001,A,C000001A,288+0.916,297+0.678,288.405,297.17,51-4-001,,,E,987.5,10.0,,8.0,226.0,186.0,10.0,,8.0,221.0,182.0,RPA_3,3009.0,10.0,119.0,128.0,128.0,194.0,194.0,,2.0,,TOOLE,,,5.102,17.347,C000001_288+0.916_297+0.678_N-1,,US-2,NI-NHS,4,10,TOOLE,10.0,8656.425,2.0,493.75,4328.2125,,US-2
2023.0,N-1,A,5.71,C000001,A,C000001A,297+0.678,303+0.275,297.17,302.88,51-4-002,,,E,930.75,9.0,,8.0,213.0,175.0,10.0,,9.0,229.0,188.0,RPA_3,3009.0,10.0,119.0,121.0,121.0,184.0,184.0,,2.0,,TOOLE,,,5.102,17.347,C000001_297+0.678_303+0.275_N-1,,US-2,NI-NHS,4,9,TOOLE,9.0,5314.5824999999995,1.8,517.0833333333334,2952.545833333333,,US-2
2023.0,N-1,A,3.638,C000001,A,C000001A,303+0.275,307+0.032,302.88,306.519,26-2-001,,,E,852.0,11.0,,9.0,254.0,209.0,11.0,,9.0,252.0,207.0,RPA_3,3009.0,10.0,119.0,143.0,143.0,219.0,219.0,,2.0,,TOOLE,JCT S-343 AT GALATA,JCT S-343 AT GALATA,5.102,17.347,C000001_303+0.275_307+0.032_N-1,,US-2,NI-NHS,4,5,TOOLE,5.0,3099.576,1.0,852.0,3099.576,,US-2
2023.0,N-1,A,2.009,C000001,A,C000001A,307+0.032,309+0.029,306.519,308.528,26-2-001,,,E,852.0,11.0,,9.0,254.0,209.0,11.0,,9.0,252.0,207.0,RPA_3,3009.0,10.0,119.0,143.0,143.0,219.0,219.0,,2.0,,LIBERTY,,,5.102,17.347,C000001_307+0.032_309+0.029_N-1,,US-2,NI-NHS,4,1,LIBERTY,1.0,1711.668,0.2,4260.0,8558.339999999998,,US-2
2023.0,N-1,A,10.756,C000001,A,C000001A,309+0.029,319+0.793,308.528,319.285,26-2-002,,,E,1634.25,11.0,,9.0,254.0,209.0,8.0,,7.0,188.0,155.0,RPA_3,3009.0,10.0,119.0,144.0,144.0,219.0,219.0,,2.0,,LIBERTY,,,5.102,17.347,C000001_309+0.029_319+0.793_N-1,,US-2,NI-NHS,4,2,LIBERTY,2.0,17577.993,0.4,4085.625,43944.98249999999,,US-2
2023.0,N-1,A,1.698,C000001,A,C000001A,319+0.793,321+0.502,319.285,320.982,26-2-002,,,E,1634.25,11.0,,9.0,254.0,209.0,8.0,,7.0,188.0,155.0,RPA_3,3009.0,10.0,119.0,144.0,144.0,219.0,219.0,,2.0,,LIBERTY,JCT S-409,JCT S-409,5.102,17.347,C000001_319+0.793_321+0.502_N-1,,US-2,NI-NHS,4,0,LIBERTY,,2774.9565,0.0,,,,US-2
