SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT
C000090_219+0.215_226+0.731_NAN,C000090A,47--,219+0.215,226+0.731,NAN,39,7.556,0.0,0.0,,SILVER BOW,,I-90,Interstate,7.8,0.0,0.0,
C002903_004+0.088_004+0.138_L-25-49,C002903A,060167A,004+0.088,004+0.138,L-25-49,2,0.05,1.0,0.05,,LEWIS AND CLARK,,,,0.4,2.5,0.125,2190280.6297056815
C003016_000+0.706_000+0.764_L-3-16,C003016A,059394J,000+0.706,000+0.764,L-3-16,1,0.058,3.0,0.17400000000000002,,BLAINE,,,,0.2,15.0,0.87,314695.49277380476
C003948_001+0.724_002+0.306_L-7-1041,C003948A,398765B,001+0.724,002+0.306,L-7-1041,1,0.583,1.0,0.583,,CASCADE,,,,0.2,5.0,2.9149999999999996,93922.84003883711
C228431_000+0.236_000+0.240_R015S280OFA,C228431A,07-2-051,000+0.236,000+0.240,R015S280OFA,7,0.004,1062.0,4.248,,CASCADE,,,,1.4,758.5714285714287,3.0342857142857147,90230.48733486207
C246970_000+0.000_000+0.030_L-45-906,C246970A,091092N,000+0.000,000+0.030,L-45-906,1,0.03,20.333333333333332,0.61,,SANDERS,,,,0.2,101.66666666666666,3.05,89765.59957810168
C001027_002+0.352_002+0.356_U-1027,C001027A,56-4A-275,002+0.352,002+0.356,U-1027,29,0.004,6244.5,24.978,,YELLOWSTONE,GOVERNORS BLVD,,Urban,5.8,1076.6379310344828,4.306551724137932,63574.08345490506
C228369_000+0.246_000+0.250_R015S126OFA,C228369A,47-1-038,000+0.246,000+0.250,R015S126OFA,11,0.004,2378.0,9.512,,SILVER BOW,,,,2.2,1080.9090909090908,4.323636363636363,63322.87354594852
C001821_001+0.132_001+0.134_U-1821,C001821A,914157G,001+0.132,001+0.134,U-1821,2,0.002,1635.6666666666667,3.2713333333333336,,SILVER BOW,DEWEY BLVD,,Urban,0.4,4089.1666666666665,8.178333333333333,33476.879402471175
C228397_000+0.237_000+0.242_R015S193OFA,C228397A,25-7-007,000+0.237,000+0.242,R015S193OFA,5,0.005,1681.25,8.40625,,LEWIS AND CLARK,,,,1.0,1681.25,8.40625,32569.22869450827
C008105_000+0.990_000+0.993_U-8105,C008105A,32-3A-176,000+0.990,000+0.993,U-8105,21,0.003,11887.75,35.66325,,MISSOULA,RUSSELL ST,,Urban,4.2,2830.4166666666665,8.491249999999999,32243.200790603285
C005802_001+0.591_001+0.595_U-5802,C005802A,25-7C-028,001+0.591,001+0.595,U-5802,29,0.004,13541.25,54.165,,LEWIS AND CLARK,CUSTER AVE,,Urban,5.8,2334.698275862069,9.338793103448277,29316.96587347214
C008110_000+0.464_000+0.470_U-8110,C008110A,32-3A-217,000+0.464,000+0.470,U-8110,5,0.006,1785.0,10.71,,MISSOULA,FRONT ST,,Urban,1.0,1785.0,10.71,25563.499412998142
C229036_000+0.000_000+0.026_R090E233OFA,C229036A,22-3-030,000+0.000,000+0.026,R090E233OFA,1,0.026,88.25,2.2944999999999998,,SILVER BOW,,,,0.2,441.25,11.472499999999998,23864.46534872174
C006733_000+0.185_000+0.189_U-6733,C006733A,15-7B-092,000+0.185,000+0.189,U-6733,5,0.004,2973.5,11.894,,FLATHEAD,18TH ST,,Urban,1.0,2973.5,11.894,23018.755566942164
C229173_000+0.000_000+0.004_R090W096ONA,C229173A,32-3-059,000+0.000,000+0.004,R090W096ONA,4,0.004,2560.0,10.24,,MISSOULA,,,,0.8,3200.0,12.799999999999999,21389.459274469544
C001018_001+0.991_001+0.995_U-1018,C001018A,56-4A-246,001+0.991,001+0.995,U-1018,24,0.004,15477.0,61.908,,YELLOWSTONE,4TH AVE N,,Urban,4.8,3224.375,12.8975,21227.76342029154
C228572_000+0.000_000+0.257_R094W063ONA,C228572A,52-1-019,000+0.000,000+0.257,R094W063ONA,1,0.257,10.25,2.63425,,TREASURE,,,,0.2,51.25,13.17125,20786.567616073655
