CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C025295,D,000+0.140,HELENA,LEWIS AND CLARK,DECEMBER,2019,SUN,408247.48100,266270.41600,46.6185933423105,-112.005336178816,0.14
C025295,D,000+0.144,HELENA,LEWIS AND CLARK,DECEMBER,2019,FRI,408246.46700,266277.51700,46.6185933423105,-112.005336178816,0.144
C025295,A,000+0.697,EAST HELENA,LEWIS AND CLARK,DECEMBER,2019,MON,407869.80092,266865.62914,,,0.697
C025295,A,001+0.662,NOT IN CITY LIMITS,LEWIS AND CLARK,APRIL,2019,MON,407900.12729,268418.94680,,,1.662
C025295,A,001+0.996,HELENA,LEWIS AND CLARK,JUNE,2019,FRI,407917.52300,268956.07700,46.6426808394346,-112.010766266201,1.996
C025295,A,002+0.007,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2019,MON,407920.36530,268973.91609,46.6426808394346,-112.010766266201,2.007
C025295,A,002+0.262,HELENA,LEWIS AND CLARK,AUGUST,2019,THU,407920.93921,269384.55986,,,2.262
C025295,A,002+0.679,NOT IN CITY LIMITS,LEWIS AND CLARK,FEBRUARY,2019,TUE,407941.94702,270054.76040,,,2.6790000000000003
C025295,A,002+0.693,NOT IN CITY LIMITS,LEWIS AND CLARK,JANUARY,2019,WED,407935.88595,270077.05120,,,2.693
C025295,A,003+0.561,NOT IN CITY LIMITS,LEWIS AND CLARK,NOVEMBER,2019,MON,407992.48567,271473.21114,,,3.561
C025295,A,004+0.204,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2019,MON,408033.47301,272507.49282,,,4.204
