CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C025602,A,002+0.847,NOT IN CITY LIMITS,LEWIS AND CLARK,NOVEMBER,2020,TUE,395526.60031,276749.38290,,,2.847
C025602,A,003+0.601,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2020,WED,395419.31451,275616.20914,,,3.601
C025602,A,006+0.408,NOT IN CITY LIMITS,LEWIS AND CLARK,NOVEMBER,2020,THU,397456.95161,271725.97010,,,6.408
C025602,A,006+0.409,NOT IN CITY LIMITS,LEWIS AND CLARK,SEPTEMBER,2020,TUE,397465.38234,271739.25151,,,6.409
C025602,A,006+0.485,NOT IN CITY LIMITS,LEWIS AND CLARK,SEPTEMBER,2020,THU,397574.93500,271685.75500,46.6640733979558,-112.146557185183,6.485
C025602,A,006+0.544,NOT IN CITY LIMITS,LEWIS AND CLARK,MARCH,2020,WED,397665.35746,271656.42163,,,6.5440000000000005
C025602,A,006+0.563,NOT IN CITY LIMITS,LEWIS AND CLARK,APRIL,2020,WED,397697.27003,271656.66027,,,6.563
C025602,A,006+0.802,NOT IN CITY LIMITS,LEWIS AND CLARK,NOVEMBER,2020,SAT,398057.46608,271528.05846,,,6.802
C025602,A,007+0.552,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2020,WED,399020.48204,270807.09513,,,7.552
C025602,A,007+0.575,NOT IN CITY LIMITS,LEWIS AND CLARK,SEPTEMBER,2020,MON,399049.60340,270784.10622,,,7.575
C025602,A,008+0.088,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2020,FRI,399557.50985,270155.76163,,,8.088
C025602,A,008+0.207,NOT IN CITY LIMITS,LEWIS AND CLARK,JULY,2020,SUN,399484.78436,269983.19640,,,8.207
C025602,A,008+0.988,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2020,WED,400291.42086,269074.77289,,,8.988
C025602,A,010+0.020,NOT IN CITY LIMITS,LEWIS AND CLARK,JANUARY,2020,WED,401446.58304,267883.21690,,,10.02
C025602,A,010+0.550,NOT IN CITY LIMITS,LEWIS AND CLARK,APRIL,2020,MON,401433.79000,267030.64700,46.6234800739104,-112.09461549814,10.55
