CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000280,A,000+1.108,NOT IN CITY LIMITS,LEWIS AND CLARK,DECEMBER,2020,SAT,410649.50656,267217.75293,,,1.108
C000280,A,000+1.134,NOT IN CITY LIMITS,LEWIS AND CLARK,DECEMBER,2020,FRI,410687.78004,267235.84492,,,1.134
C000280,A,000+1.149,NOT IN CITY LIMITS,LEWIS AND CLARK,DECEMBER,2020,SAT,410707.42007,267251.17951,,,1.149
C000280,A,000+1.214,NOT IN CITY LIMITS,LEWIS AND CLARK,NOVEMBER,2020,TUE,410796.78072,267304.90550,,,1.214
C000280,A,000+1.338,NOT IN CITY LIMITS,LEWIS AND CLARK,JANUARY,2020,SAT,410977.64125,267388.41953,,,1.338
C000280,A,000+1.372,NOT IN CITY LIMITS,LEWIS AND CLARK,SEPTEMBER,2020,THU,411035.27730,267397.01523,,,1.372
C000280,A,000+1.431,NOT IN CITY LIMITS,LEWIS AND CLARK,MAY,2020,TUE,411116.81080,267446.02819,,,1.431
C000280,A,000+1.679,NOT IN CITY LIMITS,LEWIS AND CLARK,DECEMBER,2020,THU,411490.46900,267583.49600,46.631264436168,-111.963699572859,1.679
C000280,A,000+1.747,NOT IN CITY LIMITS,LEWIS AND CLARK,MAY,2020,FRI,411594.03445,267616.81726,,,1.747
C000280,A,002+0.594,NOT IN CITY LIMITS,LEWIS AND CLARK,AUGUST,2020,MON,413628.96200,269120.87700,46.645762162958,-111.93625087643,2.594
C000280,A,002+0.768,NOT IN CITY LIMITS,LEWIS AND CLARK,JUNE,2020,SAT,413902.19100,269157.79400,46.6461759626149,-111.932785128958,2.768
C000280,A,002+0.773,NOT IN CITY LIMITS,LEWIS AND CLARK,SEPTEMBER,2020,WED,413911.27406,269144.78904,,,2.773
C000280,A,002+0.934,NOT IN CITY LIMITS,LEWIS AND CLARK,JULY,2020,THU,414170.09500,269154.82700,46.6462102109211,-111.929240995663,2.934
C000280,A,003+0.601,NOT IN CITY LIMITS,LEWIS AND CLARK,JULY,2020,FRI,415261.30900,269131.87700,46.6463203999003,-111.914858689043,3.601
C000280,A,004+0.758,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2020,TUE,417086.11583,269104.84317,,,4.758
C000280,A,005+0.145,NOT IN CITY LIMITS,LEWIS AND CLARK,JULY,2020,FRI,417747.35628,269105.69683,,,5.145
C000280,A,006+0.985,NOT IN CITY LIMITS,LEWIS AND CLARK,FEBRUARY,2020,WED,420112.35844,270862.20975,,,6.985
C000280,A,008+0.241,NOT IN CITY LIMITS,LEWIS AND CLARK,JULY,2020,FRI,421588.32552,271805.71126,,,8.241
C000280,A,009+0.426,NOT IN CITY LIMITS,LEWIS AND CLARK,OCTOBER,2020,WED,422038.85600,273430.07700,46.6868470241789,-111.827980045313,9.426
C000280,A,011+0.565,NOT IN CITY LIMITS,LEWIS AND CLARK,SEPTEMBER,2020,SAT,423210.52008,276118.65936,,,11.565
C000280,A,011+0.694,NOT IN CITY LIMITS,LEWIS AND CLARK,JUNE,2020,MON,423391.30800,276219.58800,,,11.693999999999999
C000280,A,012+0.548,NOT IN CITY LIMITS,LEWIS AND CLARK,APRIL,2020,SAT,424577.58233,275886.11519,,,12.548
C000280,A,012+0.830,NOT IN CITY LIMITS,LEWIS AND CLARK,FEBRUARY,2020,THU,424984.17716,275726.80750,,,12.83
C000280,A,012+0.955,NOT IN CITY LIMITS,LEWIS AND CLARK,JUNE,2020,MON,425145.62915,275699.91967,,,12.955
C000280,A,013+0.252,NOT IN CITY LIMITS,LEWIS AND CLARK,MARCH,2020,SAT,425510.79280,275866.44096,,,13.252
