CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000015,D,000+0.504,NOT IN CITY LIMITS,BEAVERHEAD,OCTOBER,2022,SAT,376083.64016,38376.68640,44.558980446577799,-112.318135827535,0.504
C000015,D,001+0.401,NOT IN CITY LIMITS,BEAVERHEAD,MARCH,2022,TUE,374804.46589,39066.51104,44.564767179498098,-112.334535124512,1.401
C000015,D,003+0.150,NOT IN CITY LIMITS,BEAVERHEAD,NOVEMBER,2022,TUE,372157.85835,39989.98601,44.572203064591399,-112.36824382955101,3.15
C000015,D,005+0.477,NOT IN CITY LIMITS,BEAVERHEAD,DECEMBER,2022,WED,368745.60569,41541.43628,44.585018716968698,-112.41188625153301,5.477
C000015,D,006+0.696,NOT IN CITY LIMITS,BEAVERHEAD,DECEMBER,2022,TUE,366975.08624,42393.61210,44.592085671080902,-112.43456116380401,6.696
C000015,D,007+0.576,NOT IN CITY LIMITS,BEAVERHEAD,APRIL,2022,FRI,365748.97748,43099.95758,44.598021579215597,-112.450322303668,7.576
C000015,D,008+0.468,NOT IN CITY LIMITS,BEAVERHEAD,MAY,2022,SAT,364499.81480,43809.55894,44.603976658111797,-112.466378450565,8.468
C000015,D,012+0.734,NOT IN CITY LIMITS,BEAVERHEAD,OCTOBER,2022,SAT,357930.04751,45564.22184,44.6174816631613,-112.549909460853,12.734
C000015,D,034+0.254,NOT IN CITY LIMITS,BEAVERHEAD,OCTOBER,2022,THU,339228.55624,73118.34552,44.858370576812,-112.799884806309,34.254
C000015,D,035+0.336,NOT IN CITY LIMITS,BEAVERHEAD,DECEMBER,2022,SAT,338490.68411,74705.15222,44.872355560036198,-112.810059055335,35.336
C000015,D,036+0.676,NOT IN CITY LIMITS,BEAVERHEAD,APRIL,2022,FRI,337848.38828,76737.45011,44.8903810099618,-112.819268675365,36.676
C000015,D,038+0.608,NOT IN CITY LIMITS,BEAVERHEAD,DECEMBER,2022,FRI,337513.62653,79835.60739,44.9181052737407,-112.825166554913,38.608
C000015,D,043+0.744,NOT IN CITY LIMITS,BEAVERHEAD,NOVEMBER,2022,WED,335775.63081,87761.18932,44.988689714451802,-112.851450059038,43.744
C000015,D,045+0.031,NOT IN CITY LIMITS,BEAVERHEAD,SEPTEMBER,2022,SUN,336068.11038,89710.94114,45.006330686377602,-112.848801453329,45.031
C000015,D,049+0.004,NOT IN CITY LIMITS,BEAVERHEAD,APRIL,2022,TUE,339388.47797,95081.13493,45.055880000000002,-112.8096,49.004
C000015,D,051+0.288,NOT IN CITY LIMITS,BEAVERHEAD,DECEMBER,2022,MON,341116.77939,98089.65200,45.0835833215029,-112.78928106398099,51.288
C000015,D,054+0.144,NOT IN CITY LIMITS,BEAVERHEAD,MARCH,2022,THU,343828.29746,101284.65685,45.113328364671901,-112.756556157101,54.144
C000015,D,055+0.480,NOT IN CITY LIMITS,BEAVERHEAD,OCTOBER,2022,TUE,344983.81312,103065.81313,45.1297740798258,-112.742820508828,55.48
C000015,D,057+0.756,NOT IN CITY LIMITS,BEAVERHEAD,DECEMBER,2022,MON,347363.33035,105825.09799,45.155465708892898,-112.714035316718,57.756
C000015,D,058+0.049,NOT IN CITY LIMITS,BEAVERHEAD,APRIL,2022,MON,347677.23813,106174.61829,45.158724173272297,-112.710228409121,58.049
C000015,D,058+0.975,NOT IN CITY LIMITS,BEAVERHEAD,SEPTEMBER,2022,WED,348553.92569,107365.72724,45.1697566172191,-112.69970571426499,58.975
C000015,D,059+0.008,NOT IN CITY LIMITS,BEAVERHEAD,MARCH,2022,SUN,348568.51242,107412.01255,45.170178149045697,-112.69954434765,59.008
C000015,D,059+0.197,NOT IN CITY LIMITS,BEAVERHEAD,JANUARY,2022,WED,348708.47198,107681.62769,45.1726537986358,-112.697905298631,59.197
C000015,D,060+0.002,NOT IN CITY LIMITS,BEAVERHEAD,APRIL,2022,SAT,349304.84848,108831.31438,45.183210000000003,-112.69092000000001,60.002
C000015,D,060+0.054,NOT IN CITY LIMITS,BEAVERHEAD,FEBRUARY,2022,TUE,349332.12551,108912.38920,45.183948982378602,-112.69061520709499,60.054
C000015,D,060+0.313,NOT IN CITY LIMITS,BEAVERHEAD,JULY,2022,TUE,349680.77813,109134.77920,45.186076294699497,-112.686297383404,60.313
C000015,D,061+0.277,NOT IN CITY LIMITS,BEAVERHEAD,OCTOBER,2022,FRI,351067.48245,109889.29175,45.193366699594797,-112.66905379067801,61.277
C000015,D,067+0.849,NOT IN CITY LIMITS,BEAVERHEAD,MARCH,2022,SAT,351986.26464,119583.13672,45.280865974655001,-112.66234968351,67.849
C000015,D,072+0.030,NOT IN CITY LIMITS,BEAVERHEAD,JULY,2022,SUN,349807.32223,125945.89841,45.337284390410602,-112.693408007423,72.03
C000015,D,077+0.071,NOT IN CITY LIMITS,BEAVERHEAD,NOVEMBER,2022,TUE,348933.02920,133933.47801,45.408787644613099,-112.708729122093,77.071
C000015,D,077+0.218,NOT IN CITY LIMITS,BEAVERHEAD,JULY,2022,MON,348953.47047,134169.36588,45.410916310452798,-112.708591595597,77.218
C000015,D,078+0.489,NOT IN CITY LIMITS,BEAVERHEAD,OCTOBER,2022,SUN,349132.42142,136205.39545,45.429290536392301,-112.70737199279,78.489
C000015,D,079+0.003,NOT IN CITY LIMITS,BEAVERHEAD,APRIL,2022,TUE,349213.91419,137024.93365,45.436689999999999,-112.70676,79.003
C000015,D,079+0.019,NOT IN CITY LIMITS,BEAVERHEAD,OCTOBER,2022,FRI,349215.86967,137050.47830,45.436920422959901,-112.706748388888,79.019
C000015,D,080+0.082,NOT IN CITY LIMITS,BEAVERHEAD,SEPTEMBER,2022,WED,349152.00833,138736.25323,45.452055746876397,-112.708446555328,80.082
C000015,D,082+0.702,NOT IN CITY LIMITS,BEAVERHEAD,JUNE,2022,FRI,348794.55373,142875.79767,45.489147747666898,-112.71518558310601,82.702
C000015,D,082+0.800,NOT IN CITY LIMITS,BEAVERHEAD,AUGUST,2022,WED,348773.71988,143033.52038,45.490558342205198,-112.715534764252,82.8
C000015,D,084+0.007,NOT IN CITY LIMITS,BEAVERHEAD,FEBRUARY,2022,THU,348787.72872,145043.25303,45.508635674351403,-112.716411380076,84.007
C000015,D,086+0.003,NOT IN CITY LIMITS,MADISON,JANUARY,2022,WED,350122.25952,147923.73198,45.535029999999999,-112.70085,86.003
C000015,D,091+0.429,NOT IN CITY LIMITS,MADISON,NOVEMBER,2022,WED,353250.10539,155797.05461,45.606975627881603,-112.664900156257,91.429
C000015,D,091+0.484,NOT IN CITY LIMITS,MADISON,JULY,2022,WED,353238.00095,155884.30108,45.607755817942603,-112.66510043869199,91.484
C000015,D,095+0.079,NOT IN CITY LIMITS,SILVER BOW,JULY,2022,FRI,352551.51918,161493.45627,45.657947981543501,-112.676812437137,95.079
C000015,D,095+0.154,NOT IN CITY LIMITS,SILVER BOW,JULY,2022,FRI,352531.53416,161611.89069,45.6590057524717,-112.677130370904,95.154
C000015,D,097+0.148,NOT IN CITY LIMITS,SILVER BOW,AUGUST,2022,TUE,351561.29465,164465.38439,45.684311924614903,-112.691064771355,97.148
C000015,D,098+0.203,NOT IN CITY LIMITS,SILVER BOW,JULY,2022,THU,351435.80496,166106.19232,45.699021461130599,-112.693533649842,98.203
C000015,D,099+0.581,NOT IN CITY LIMITS,SILVER BOW,NOVEMBER,2022,MON,350508.42016,168021.23580,45.715902258043201,-112.706442008637,99.581
C000015,D,099+0.676,NOT IN CITY LIMITS,SILVER BOW,AUGUST,2022,TUE,350368.71193,168083.50336,45.7164107443379,-112.708268279141,99.676
C000015,D,099+0.699,NOT IN CITY LIMITS,SILVER BOW,JANUARY,2022,THU,350341.85666,168109.65733,45.7166360443888,-112.708626799679,99.699
C000015,D,099+0.760,NOT IN CITY LIMITS,SILVER BOW,JANUARY,2022,THU,350259.28593,168160.04627,45.717058743021298,-112.70971334119101,99.76
C000015,D,101+0.144,NOT IN CITY LIMITS,SILVER BOW,MARCH,2022,FRI,349336.11142,170155.85710,45.734665619017903,-112.72261955462101,101.144
C000015,D,103+0.001,NOT IN CITY LIMITS,SILVER BOW,MAY,2022,THU,348928.45943,172997.62295,45.760069999999999,-112.72936,103.001
C000015,D,112+0.002,NOT IN CITY LIMITS,SILVER BOW,JULY,2022,SAT,353800.10472,186438.91692,45.882739999999998,-112.67377,112.002
