CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000012,A,000+0.047,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2022,SAT,459243.00979,48826.83899,44.674892309899398,-111.274963212213,0.047
C000012,A,000+0.272,WEST YELLOWSTONE,GALLATIN,JUNE,2022,SUN,459553.60703,49009.66324,44.676600000000001,-111.2711,0.272
C000012,A,000+0.335,NOT IN CITY LIMITS,GALLATIN,APRIL,2022,TUE,459619.33311,49084.08109,44.677282730000002,-111.27029265,0.335
C000012,A,000+0.432,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2022,FRI,459689.82812,49218.74091,44.678508280000003,-111.26944232,0.432
C000012,A,000+0.634,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2022,THU,459790.91594,49526.71608,44.6812989538642,-111.26825560674899,0.634
C000012,A,001+0.476,WEST YELLOWSTONE,GALLATIN,MAY,2022,MON,460940.08400,50040.71200,44.670833333333299,111.239444444444,1.476
C000012,A,002+0.811,NOT IN CITY LIMITS,GALLATIN,JULY,2022,FRI,463102.37686,50037.66833,44.686559471810803,-111.226648630922,2.811
C000012,A,002+0.941,NOT IN CITY LIMITS,GALLATIN,MAY,2022,SAT,463309.06901,50014.51611,44.686392181444297,-111.224036101002,2.941
C000012,A,002+0.991,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2022,SAT,463390.04097,50011.05056,44.686377038548301,-111.223014197401,2.991
C000012,A,003+0.001,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2022,SUN,463396.40495,49996.78703,44.686250000000001,-111.22293000000001,3.001
C000012,A,003+0.001,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2022,FRI,463396.83583,50004.89026,44.686322972453702,-111.222926815013,3.001
C000012,A,003+0.001,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2022,SUN,463396.40495,49996.78703,44.686250000000001,-111.22293000000001,3.001
C000012,A,003+0.083,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2022,SAT,463528.29845,49991.24604,44.6862262476848,-111.221265476819,3.083
C000012,A,003+0.091,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2022,SUN,463540.58584,49983.41450,44.686158233432302,-111.221108380464,3.091
C000012,A,003+0.245,NOT IN CITY LIMITS,GALLATIN,JUNE,2022,MON,463784.40621,49940.40013,44.685819481920397,-111.218022260219,3.245
C000012,A,003+0.246,NOT IN CITY LIMITS,GALLATIN,JUNE,2022,MON,463785.64300,49941.05800,44.685833118253,-111.21801322253,3.246
C000012,A,003+0.895,NOT IN CITY LIMITS,GALLATIN,MAY,2022,TUE,464759.83335,49568.80500,44.682668825882303,-111.205621524042,3.895
C000012,A,004+0.000,NOT IN CITY LIMITS,GALLATIN,MARCH,2022,SAT,464904.30608,49495.75063,44.682040000000001,-111.20377999999999,4.0
C000012,A,004+0.404,NOT IN CITY LIMITS,GALLATIN,JUNE,2022,FRI,465502.62317,49241.73339,44.679871975243003,-111.196167233365,4.404
C000012,A,004+0.446,NOT IN CITY LIMITS,GALLATIN,AUGUST,2022,SAT,465561.04459,49205.19829,44.6795547260731,-111.195420730214,4.446
C000012,A,005+0.098,NOT IN CITY LIMITS,GALLATIN,MAY,2022,SUN,466567.59698,48792.81527,44.6760406616377,-111.182619231809,5.098
C000012,A,006+0.000,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2022,THU,467962.58660,48407.16961,44.672840000000001,-111.16493,6.0
C000012,A,006+0.000,NOT IN CITY LIMITS,GALLATIN,JANUARY,2022,FRI,467962.58660,48407.16961,44.672840000000001,-111.16493,6.0
C000012,A,006+0.013,NOT IN CITY LIMITS,GALLATIN,APRIL,2022,WED,467979.66468,48393.15854,44.672717237382898,-111.164710963814,6.013
C000012,A,007+0.829,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2022,SAT,470798.71350,47641.81293,44.666492159999997,-111.12897751,7.829
C000012,A,009+0.394,WEST YELLOWSTONE,GALLATIN,DECEMBER,2022,THU,473096.51170,47121.94151,44.662241999999999,-111.099881,9.394
C000012,A,009+0.402,WEST YELLOWSTONE,GALLATIN,JANUARY,2022,MON,473109.45823,47121.41297,44.6622171039632,-111.099641191458,9.402
C000012,A,009+0.405,WEST YELLOWSTONE,GALLATIN,JANUARY,2022,THU,473113.73826,47117.17730,44.6622171039632,-111.099641191458,9.405
