CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000058,A,007+0.138,NOT IN CITY LIMITS,GLACIER,JULY,2023,SUN,328939.65326,484032.51920,48.548589781546298,-113.173623528308,7.138
C000058,A,009+0.768,NOT IN CITY LIMITS,GLACIER,AUGUST,2023,FRI,325150.65962,483340.06465,48.540759167601401,-113.224452197318,9.768
C000058,A,009+0.878,NOT IN CITY LIMITS,GLACIER,SEPTEMBER,2023,SUN,324974.15418,483336.73927,48.540653799517898,-113.226838252956,9.878
C000058,A,021+0.149,NOT IN CITY LIMITS,GLACIER,AUGUST,2023,SAT,318540.03611,496118.89172,48.652703504700298,-113.322335622626,21.149
C000058,A,024+0.666,NOT IN CITY LIMITS,GLACIER,SEPTEMBER,2023,TUE,316677.44838,500066.08189,48.687342597618702,-113.350222598893,24.666
C000058,A,024+0.702,NOT IN CITY LIMITS,GLACIER,APRIL,2023,FRI,316674.18715,500117.84945,48.6878061964807,-113.350301400307,24.701999999999998
C000058,A,032+0.128,NOT IN CITY LIMITS,GLACIER,AUGUST,2023,SAT,311815.51393,507793.35420,48.754586843049601,-113.42143777163599,32.128
C000058,A,036+0.677,NOT IN CITY LIMITS,GLACIER,SEPTEMBER,2023,FRI,312292.63665,514658.12940,48.816462402248803,-113.41962686346,36.677
C000058,A,040+0.064,NOT IN CITY LIMITS,GLACIER,AUGUST,2023,THU,311284.61908,519533.76617,48.859800068147699,-113.436672365646,40.064
C000058,A,040+0.363,NOT IN CITY LIMITS,GLACIER,AUGUST,2023,WED,311362.83198,520009.60515,48.864109205089498,-113.435933475372,40.363
C000058,A,042+0.804,NOT IN CITY LIMITS,GLACIER,MAY,2023,TUE,311347.16659,523947.68118,48.899471868859003,-113.438844949669,42.804
C000058,A,044+0.001,NOT IN CITY LIMITS,GLACIER,JANUARY,2023,SUN,311769.59954,525807.85499,48.916369501283299,-113.434364231632,44.001
