CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000205,A,016+0.528,NOT IN CITY LIMITS,GALLATIN,AUGUST,2023,THU,464938.08979,174608.60085,45.807670744954102,-111.23836792533299,16.528
C000205,A,016+0.676,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2023,WED,465122.24824,174456.00640,45.806334408052997,-111.235954895524,16.676
C000205,A,018+0.318,NOT IN CITY LIMITS,GALLATIN,JANUARY,2023,MON,467201.31646,172862.76387,45.792409295300303,-111.20875735347801,18.318
C000205,A,018+0.330,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2023,WED,467217.93062,172854.40262,45.792337319406002,-111.20854129588101,18.33
C000205,A,018+0.752,BELGRADE,GALLATIN,FEBRUARY,2023,WED,467764.32834,172450.51225,45.788809999999998,-111.20140000000001,18.752
C000205,A,018+0.775,BELGRADE,GALLATIN,NOVEMBER,2023,MON,467787.31800,172419.34700,45.788527208919,-111.201086855736,18.775
C000205,A,019+0.041,NOT IN CITY LIMITS,GALLATIN,MARCH,2023,FRI,468168.46169,172150.48078,45.786189081204,-111.196118296767,19.041
C000205,A,019+0.090,BELGRADE,GALLATIN,SEPTEMBER,2023,THU,468223.05869,172092.72393,45.785679999999999,-111.19540000000001,19.09
C000205,A,019+0.094,BELGRADE,GALLATIN,MAY,2023,TUE,468229.27600,172089.98600,45.7857010564853,-111.195410544174,19.094
C000205,A,019+0.256,BELGRADE,GALLATIN,DECEMBER,2023,THU,468437.27299,171931.39580,45.784269999999999,-111.1926,19.256
C000205,A,019+0.344,BELGRADE,GALLATIN,OCTOBER,2023,FRI,468545.68800,171842.16000,45.7834909958428,-111.191181859616,19.344
C000205,A,019+0.396,BELGRADE,GALLATIN,FEBRUARY,2023,TUE,468621.10662,171802.95894,45.783149999999999,-111.1902,19.396
C000205,A,019+0.410,BELGRADE,GALLATIN,JANUARY,2023,MON,468629.84000,171776.96600,45.7829176011366,-111.190079801198,19.41
C000205,A,019+0.476,BELGRADE,GALLATIN,FEBRUARY,2023,TUE,468728.37843,171729.52105,45.782510000000002,-111.1888,19.476
C000205,A,019+0.477,BELGRADE,GALLATIN,JANUARY,2023,MON,468715.16600,171710.29500,0,0,19.477
C000205,A,019+0.478,BELGRADE,GALLATIN,FEBRUARY,2023,WED,468715.82700,171709.23600,0,0,19.478
C000205,A,019+0.478,BELGRADE,GALLATIN,FEBRUARY,2023,WED,468715.82700,171709.23600,0,0,19.478
C000205,A,019+0.562,BELGRADE,GALLATIN,SEPTEMBER,2023,SAT,468843.35298,171652.58520,45.781840000000003,-111.18729999999999,19.562
C000205,A,019+0.565,BELGRADE,GALLATIN,NOVEMBER,2023,MON,468843.16152,171643.69887,45.781759999999998,-111.18729999999999,19.565
