CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000090,D,219+0.277,NOT IN CITY LIMITS,SILVER BOW,APRIL,2023,WED,357689.59717,200308.17423,46.008881208933097,-112.63082684848099,219.277
C000090,D,219+0.697,NOT IN CITY LIMITS,SILVER BOW,JUNE,2023,SUN,358356.19700,200228.86200,46.008456669472999,-112.622208109563,219.697
C000090,D,219+0.769,NOT IN CITY LIMITS,SILVER BOW,SEPTEMBER,2023,SAT,358468.80200,200200.81400,46.008155457000299,-112.62069585389899,219.769
C000090,D,220+0.296,NOT IN CITY LIMITS,SILVER BOW,MARCH,2023,FRI,359411.88100,199998.54800,46.006710052490199,-112.608444213867,220.296
C000090,D,220+0.761,NOT IN CITY LIMITS,SILVER BOW,DECEMBER,2023,SAT,360156.69900,199929.33700,46.006360000000001,-112.59885,220.761
C000090,D,222+0.708,NOT IN CITY LIMITS,SILVER BOW,JANUARY,2023,THU,362794.61000,198834.37500,45.997410000000002,-112.56417,222.708
C000090,D,222+0.710,BUTTE,SILVER BOW,NOVEMBER,2023,WED,362795.27200,198832.65500,45.997410000000002,-112.56417,222.71
C000090,D,222+0.834,BUTTE,SILVER BOW,OCTOBER,2023,SAT,362891.02600,198658.22900,45.995868046734302,-112.562880067658,222.834
C000090,D,222+0.916,NOT IN CITY LIMITS,SILVER BOW,APRIL,2023,TUE,362982.03200,198564.79800,45.995091973392597,-112.561656932536,222.916
C000090,D,223+0.496,NOT IN CITY LIMITS,SILVER BOW,JANUARY,2023,THU,363780.96400,198253.81400,45.9925650996028,-112.551180074085,223.496
C000090,D,223+0.546,NOT IN CITY LIMITS,SILVER BOW,JANUARY,2023,THU,363861.73300,198250.32400,45.992621694922299,-112.550132606524,223.546
C000090,D,223+0.648,BUTTE,SILVER BOW,NOVEMBER,2023,WED,364025.86600,198244.37900,45.992557845039101,-112.548009625578,223.648
C000090,D,224+0.159,NOT IN CITY LIMITS,SILVER BOW,DECEMBER,2023,SUN,364863.91900,198214.73000,45.992644085498,-112.537167026335,224.159
