CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C015802,A,003+0.329,NOT IN CITY LIMITS,FLATHEAD,JULY,2019,TUE,229102.54590,468824.17740,,,3.329
C015802,A,012+0.108,NOT IN CITY LIMITS,FLATHEAD,AUGUST,2019,SUN,219639.89976,475933.93602,,,12.108
C015802,A,008+0.565,NOT IN CITY LIMITS,FLATHEAD,NOVEMBER,2019,TUE,223919.60481,474608.05233,48.4111478578712,-114.585211423023,8.565
C015802,A,006+0.506,NOT IN CITY LIMITS,FLATHEAD,JUNE,2020,MON,225795.36502,472331.68179,48.391804891474202,-114.55793390268801,6.506
C015802,A,002+0.486,NOT IN CITY LIMITS,FLATHEAD,JULY,2020,THU,230186.26279,468151.06125,48.356806985953398,-114.495147422925,2.4859999999999998
C015802,A,000+0.001,NOT IN CITY LIMITS,FLATHEAD,OCTOBER,2020,SAT,233220.33100,468335.57300,48.3601999885347,-114.454394908535,0.001
C015802,A,000+0.732,NOT IN CITY LIMITS,FLATHEAD,SEPTEMBER,2020,SAT,232289.47581,468561.51802,,,0.732
C015802,A,000+0.337,NOT IN CITY LIMITS,FLATHEAD,JUNE,2020,SUN,232830.92231,468320.74195,,,0.337
C015802,A,002+0.001,NOT IN CITY LIMITS,FLATHEAD,NOVEMBER,2021,TUE,230878.28482,467795.36498,48.354010000000002,-114.48551999999999,2.001
C015802,A,013+0.134,NOT IN CITY LIMITS,FLATHEAD,SEPTEMBER,2021,TUE,219253.39246,474755.30801,48.409729527528498,-114.64825634591099,13.134
C015802,A,000+0.856,NOT IN CITY LIMITS,FLATHEAD,FEBRUARY,2021,FRI,232158.44855,468686.55038,48.362742239786897,-114.46903856794501,0.856
C015802,A,016+0.441,NOT IN CITY LIMITS,FLATHEAD,OCTOBER,2021,SUN,216447.59700,471059.20100,48.367530000000002,-114.68819999999999,16.441
C015802,A,013+0.972,NOT IN CITY LIMITS,FLATHEAD,OCTOBER,2022,FRI,218710.33026,473598.59926,48.399025498072298,-114.654550383472,13.972
C015802,A,002+0.144,NOT IN CITY LIMITS,FLATHEAD,NOVEMBER,2023,FRI,230668.61500,467889.76268,48.3547374708156,-114.488425334407,2.144
C015802,A,005+0.466,NOT IN CITY LIMITS,FLATHEAD,SEPTEMBER,2023,FRI,226677.89434,471000.03685,48.380362175570099,-114.544880510136,5.466
C015802,A,008+0.172,NOT IN CITY LIMITS,FLATHEAD,JUNE,2023,FRI,224523.19282,474474.27641,48.410298962553597,-114.57695571895199,8.172
C015802,A,000+0.156,NOT IN CITY LIMITS,FLATHEAD,JUNE,2023,SAT,233080.31609,468214.61501,48.359030324832403,-114.456215787131,0.156
C015802,A,009+0.552,NOT IN CITY LIMITS,FLATHEAD,DECEMBER,2023,THU,223145.26945,475782.52225,48.421238280151002,-114.59668409167701,9.552
C015802,A,000+0.152,NOT IN CITY LIMITS,FLATHEAD,DECEMBER,2023,WED,233084.19005,468208.52600,48.358977861545497,-114.456158401251,0.152
