CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000018,A,078+0.637,NOT IN CITY LIMITS,GARFIELD,NOVEMBER,2019,SAT,800181.67764,338082.08898,,,78.637
C000018,A,014+0.651,NOT IN CITY LIMITS,CUSTER,JULY,2019,TUE,863942.01986,262641.55737,,,14.651
C000018,A,006+0.080,NOT IN CITY LIMITS,CUSTER,APRIL,2019,SAT,873378.24900,252802.15110,,,6.08
C000018,A,000+0.041,MILES CITY,CUSTER,NOVEMBER,2019,SAT,880433.25793,246237.65341,,,0.041
C000018,A,023+0.641,NOT IN CITY LIMITS,ROSEBUD,AUGUST,2019,SUN,855393.26390,274130.89993,,,23.641
C000018,A,078+0.834,NOT IN CITY LIMITS,GARFIELD,SEPTEMBER,2020,WED,800062.35966,338375.33806,,,78.834
C000018,A,015+0.756,NOT IN CITY LIMITS,CUSTER,MAY,2020,MON,862489.19013,263662.36343,,,15.756
C000018,A,011+0.998,NOT IN CITY LIMITS,CUSTER,APRIL,2020,WED,867410.42444,259968.80674,,,11.998
C000018,A,000+0.774,MILES CITY,CUSTER,NOVEMBER,2020,THU,879886.06400,247281.87900,46.4166588164875,-105.856076021144,0.774
C000018,A,001+0.184,NOT IN CITY LIMITS,CUSTER,MARCH,2020,SAT,879459.56069,247842.34064,,,1.184
C000018,A,000+0.517,MILES CITY,CUSTER,DECEMBER,2020,MON,880071.73215,246912.94893,,,0.517
C000018,A,000+0.003,MILES CITY,CUSTER,AUGUST,2020,THU,880461.03600,246182.55000,46.4065140639517,-105.849265678023,0.003
C000018,A,025+0.084,NOT IN CITY LIMITS,ROSEBUD,JUNE,2021,WED,854194.33546,276071.11032,46.6858379094429,-106.174261849426,25.084
C000018,A,002+0.198,NOT IN CITY LIMITS,CUSTER,JUNE,2021,WED,878297.06769,248973.62970,46.4325499424093,-105.875740255855,2.198
C000018,A,006+0.512,NOT IN CITY LIMITS,CUSTER,NOVEMBER,2021,TUE,872867.32058,253271.39289,46.473433205109501,-105.94381435063799,6.5120000000000005
C000018,A,014+0.974,NOT IN CITY LIMITS,CUSTER,NOVEMBER,2021,MON,863514.02965,262935.13451,46.564089097481897,-106.060025601687,14.974
C000018,A,059+0.282,NOT IN CITY LIMITS,GARFIELD,DECEMBER,2021,FRI,818840.17600,315380.33900,47.051485098458002,-106.617087795511,59.282
C000018,A,000+0.572,MILES CITY,CUSTER,MARCH,2021,FRI,880037.09610,246992.74566,46.4140124734929,-105.854312365244,0.572
C000018,A,011+0.979,NOT IN CITY LIMITS,CUSTER,OCTOBER,2021,WED,867425.05579,259940.51917,46.535604133079403,-106.010777517085,11.979
C000018,A,020+0.952,NOT IN CITY LIMITS,ROSEBUD,OCTOBER,2022,SUN,857787.78879,270618.89634,46.635425354503099,-106.130371653808,20.951999999999998
C000018,A,019+0.289,NOT IN CITY LIMITS,CUSTER,JUNE,2022,WED,859315.96723,268334.63699,46.614290612866803,-106.111712010087,19.289
C000018,A,025+0.271,NOT IN CITY LIMITS,ROSEBUD,JANUARY,2022,MON,854088.63463,276291.88448,46.687863680497998,-106.175520594337,25.271
C000018,A,045+0.259,NOT IN CITY LIMITS,GARFIELD,MARCH,2022,WED,835554.94824,300682.10517,46.914047104413299,-106.405150327478,45.259
C000018,A,000+0.000,MILES CITY,CUSTER,AUGUST,2022,WED,880463.10000,246179.32800,46.4065140639517,-105.849265678023,0.0
C000018,A,000+0.000,MILES CITY,CUSTER,JUNE,2022,THU,880463.10000,246179.32800,46.4065140639517,-105.849265678023,0.0
C000018,A,000+0.028,MILES CITY,CUSTER,JUNE,2022,WED,880443.25700,246218.78600,46.399999999999999,105.833333333333,0.028
C000018,A,000+0.076,MILES CITY,CUSTER,MAY,2022,THU,880407.12300,246287.11000,46.407515839815,-105.849938701958,0.076
C000018,A,011+0.045,NOT IN CITY LIMITS,CUSTER,OCTOBER,2023,WED,868374.47812,258776.36486,46.524754739936299,-105.99908487542,11.045
C000018,A,072+0.598,NOT IN CITY LIMITS,GARFIELD,SEPTEMBER,2023,SUN,804924.32589,329742.83762,47.185637465558102,-106.794064430397,72.598
C000018,A,059+0.200,NOT IN CITY LIMITS,GARFIELD,AUGUST,2023,MON,818886.37387,315256.90939,47.050858303323103,-106.616900949144,59.2
C000018,A,046+0.852,NOT IN CITY LIMITS,GARFIELD,SEPTEMBER,2023,WED,833654.97135,302390.08648,46.930081209534698,-106.429208262939,46.852
C000018,A,044+0.263,NOT IN CITY LIMITS,GARFIELD,FEBRUARY,2023,TUE,836817.00264,299735.28902,46.905081839148501,-106.389079974721,44.263
C000018,A,000+0.082,MILES CITY,CUSTER,JULY,2023,SUN,880398.80787,246293.16387,46.407570742176198,-105.850034301829,0.082
C000018,A,000+0.427,MILES CITY,CUSTER,SEPTEMBER,2023,WED,880141.52901,246785.41843,46.412104584206197,-105.853080341778,0.427
C000018,A,002+0.163,NOT IN CITY LIMITS,CUSTER,MAY,2023,THU,878352.53448,248956.30922,46.432371110882599,-105.875029375159,2.163
C000018,A,002+0.394,NOT IN CITY LIMITS,CUSTER,OCTOBER,2023,WED,878038.10565,249153.60573,46.4342759557275,-105.878999632991,2.394
C000018,A,018+0.255,NOT IN CITY LIMITS,CUSTER,JULY,2023,THU,860104.58344,266879.46993,46.600897502658903,-106.102244942639,18.255
C000018,A,003+0.297,NOT IN CITY LIMITS,CUSTER,AUGUST,2023,FRI,876877.31303,250016.99712,46.442521015681002,-105.89357833275299,3.297
C000018,A,008+0.130,NOT IN CITY LIMITS,CUSTER,FEBRUARY,2023,SAT,871045.40915,255010.85931,46.489816157044899,-105.966504387307,8.13
C000018,A,009+0.319,NOT IN CITY LIMITS,CUSTER,OCTOBER,2023,WED,869897.29353,256609.36972,46.504654995123801,-105.980515923946,9.319
C000018,A,011+0.095,NOT IN CITY LIMITS,CUSTER,AUGUST,2023,MON,868333.20370,258846.28994,46.525400109816701,-105.99958184102999,11.095
C000018,A,010+0.006,NOT IN CITY LIMITS,CUSTER,SEPTEMBER,2023,SAT,869294.57122,257463.38810,46.512577760236503,-105.987865909505,10.006
