CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000051,A,058+0.785,NOT IN CITY LIMITS,RICHLAND,NOVEMBER,2019,MON,979498.03734,395283.18448,47.696935206746801,-104.43792877776799,58.785
C000051,A,070+0.046,NOT IN CITY LIMITS,RICHLAND,FEBRUARY,2019,SUN,997327.29121,395586.84647,47.689057252917799,-104.200542117098,70.046
C000051,A,063+0.090,NOT IN CITY LIMITS,RICHLAND,OCTOBER,2019,THU,986198.31562,394832.63548,,,63.09
C000051,A,061+0.081,NOT IN CITY LIMITS,RICHLAND,JULY,2019,WED,982960.20080,394616.43412,,,61.081
C000051,A,071+0.025,NOT IN CITY LIMITS,RICHLAND,FEBRUARY,2019,SAT,998961.83166,395176.86723,47.6843782501065,-104.178928318622,71.025
C000051,A,056+0.281,NOT IN CITY LIMITS,RICHLAND,FEBRUARY,2019,TUE,975586.74768,395804.87944,,,56.281
C000051,A,055+0.105,NOT IN CITY LIMITS,RICHLAND,FEBRUARY,2019,SAT,973728.33380,395666.20826,47.703702844163097,-104.51435598402,55.105
C000051,A,037+0.461,NOT IN CITY LIMITS,RICHLAND,OCTOBER,2019,MON,945791.14366,393916.98362,,,37.461
C000051,A,035+0.300,NOT IN CITY LIMITS,RICHLAND,MAY,2019,MON,942326.62974,393792.50999,,,35.3
C000051,A,071+0.033,NOT IN CITY LIMITS,RICHLAND,DECEMBER,2019,TUE,998977.44200,395178.69100,47.6843782501065,-104.178928318622,71.033
C000051,A,012+0.524,NOT IN CITY LIMITS,DAWSON,APRIL,2019,SAT,913648.61174,372216.42796,,,12.524000000000001
C000051,A,003+0.879,NOT IN CITY LIMITS,MCCONE,MAY,2019,SUN,902505.69760,363797.52593,,,3.879
C000051,A,063+0.855,NOT IN CITY LIMITS,RICHLAND,JANUARY,2020,MON,987425.67206,394905.00786,,,63.855
C000051,A,065+0.959,NOT IN CITY LIMITS,RICHLAND,AUGUST,2020,SUN,990882.22003,395139.54266,,,65.959
C000051,A,067+0.285,NOT IN CITY LIMITS,RICHLAND,MARCH,2020,WED,993062.98493,395283.36621,,,67.285
C000051,A,067+0.363,NOT IN CITY LIMITS,RICHLAND,JANUARY,2020,WED,993186.66831,395303.91781,,,67.363
C000051,A,053+0.898,NOT IN CITY LIMITS,RICHLAND,AUGUST,2020,SAT,971775.74310,395517.26598,47.703479999999999,-104.54046,53.898
C000051,A,062+0.214,NOT IN CITY LIMITS,RICHLAND,JUNE,2020,THU,984743.65109,394679.43197,,,62.214
C000051,A,032+0.037,NOT IN CITY LIMITS,DAWSON,JUNE,2020,SUN,938378.90006,391282.11242,,,32.037
C000051,A,001+1.001,CIRCLE,MCCONE,MARCH,2020,TUE,899961.71700,362018.00900,,,2.001
C000051,A,049+0.383,NOT IN CITY LIMITS,RICHLAND,MARCH,2020,FRI,964911.28495,393972.77426,,,49.383
C000051,A,039+0.027,NOT IN CITY LIMITS,RICHLAND,NOVEMBER,2020,WED,948298.24997,394037.28235,,,39.027
C000051,A,024+0.377,NOT IN CITY LIMITS,DAWSON,FEBRUARY,2020,SAT,928760.08986,383601.04833,,,24.377
C000051,A,053+0.469,NOT IN CITY LIMITS,RICHLAND,JULY,2020,FRI,971089.23670,395461.03274,,,53.469
C000051,A,070+0.273,NOT IN CITY LIMITS,RICHLAND,NOVEMBER,2021,THU,997692.11326,395562.48979,47.688616514826499,-104.19571302953899,70.273
C000051,A,070+0.341,NOT IN CITY LIMITS,RICHLAND,OCTOBER,2021,SUN,997802.36766,395557.57541,47.688505243840403,-104.194251419522,70.341
C000051,A,063+0.983,NOT IN CITY LIMITS,RICHLAND,SEPTEMBER,2021,TUE,987631.31687,394908.40938,47.6887926612686,-104.33008114382299,63.983
C000051,A,068+0.857,NOT IN CITY LIMITS,RICHLAND,MAY,2021,THU,995656.56299,395459.16101,47.6889251616155,-104.222872947558,68.857
C000051,A,061+0.580,NOT IN CITY LIMITS,RICHLAND,NOVEMBER,2021,WED,983761.39385,394669.84659,47.6889359888374,-104.381755177492,61.58
