CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C228240,A,000+0.315,HELENA,LEWIS AND CLARK,AUGUST,2019,SAT,408908.49600,263185.86500,46.5913026230299,-111.995447893302,0.315
C228240,A,000+0.316,HELENA,LEWIS AND CLARK,JANUARY,2019,FRI,408908.31400,263186.84700,46.5913026230299,-111.995447893302,0.316
C228240,A,000+0.317,HELENA,LEWIS AND CLARK,OCTOBER,2019,MON,408908.11600,263189.03000,46.5913026230299,-111.995447893302,0.317
C228240,A,000+0.319,HELENA,LEWIS AND CLARK,SEPTEMBER,2019,MON,408908.35400,263192.67500,46.5913026230299,-111.995447893302,0.319
C228240,A,000+0.325,HELENA,LEWIS AND CLARK,MAY,2019,MON,408907.61300,263201.86200,46.5913026230299,-111.995447893302,0.325
C228240,A,000+0.329,HELENA,LEWIS AND CLARK,JUNE,2020,FRI,408907.71897,263209.00615,46.5913026230299,-111.995447893302,0.329
C228240,A,000+0.329,HELENA,LEWIS AND CLARK,MARCH,2020,SUN,408907.71897,263209.00615,46.5913026230299,-111.995447893302,0.329
C228240,A,000+0.309,HELENA,LEWIS AND CLARK,JANUARY,2021,THU,408909.05900,263176.03700,46.59107,-111.995,0.309
C228240,A,000+0.271,HELENA,LEWIS AND CLARK,APRIL,2023,TUE,408915.30896,263114.73866,46.590400000000002,-111.9953,0.271
C228240,A,000+0.317,HELENA,LEWIS AND CLARK,JUNE,2023,MON,408917.67993,263189.13678,46.591070000000002,-111.9953,0.317
