CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C228369,A,000+0.228,NOT IN CITY LIMITS,SILVER BOW,JANUARY,2019,FRI,364751.37334,198270.32678,45.9930182116781,-112.539117511556,0.228
C228369,A,000+0.235,BUTTE,SILVER BOW,OCTOBER,2019,WED,364739.81000,198266.38800,,,0.235
C228369,A,000+0.246,BUTTE,SILVER BOW,FEBRUARY,2019,WED,364721.55578,198266.59108,45.9930182116781,-112.539117511556,0.246
C228369,A,000+0.246,BUTTE,SILVER BOW,JANUARY,2019,TUE,364722.48264,198267.26951,45.9930182116781,-112.539117511556,0.246
C228369,A,000+0.247,BUTTE,SILVER BOW,JULY,2019,THU,364720.28503,198265.96155,45.9930182116781,-112.539117511556,0.247
C228369,A,000+0.248,BUTTE,SILVER BOW,AUGUST,2019,MON,364718.53891,198266.67296,45.9930182116781,-112.539117511556,0.248
C228369,A,000+0.248,BUTTE,SILVER BOW,AUGUST,2019,FRI,364718.57452,198268.37934,45.9930182116781,-112.539117511556,0.248
C228369,A,000+0.248,BUTTE,SILVER BOW,OCTOBER,2020,TUE,364719.13300,198267.01900,45.9930182116781,-112.539117511556,0.248
C228369,A,000+0.246,BUTTE,SILVER BOW,AUGUST,2021,MON,364722.23220,198267.38395,45.993019118997303,-112.539030063887,0.246
C228369,A,000+0.246,BUTTE,SILVER BOW,MARCH,2021,THU,364724.28449,198268.39110,45.9930288938644,-112.539004085989,0.246
C228369,A,000+0.247,BUTTE,SILVER BOW,DECEMBER,2021,MON,364720.96800,198267.06600,45.9930182116781,-112.539117511556,0.247
C228369,A,000+0.247,BUTTE,SILVER BOW,SEPTEMBER,2021,WED,364719.52500,198266.23800,45.9930182116781,-112.539117511556,0.247
C228369,A,000+0.133,BUTTE,SILVER BOW,JANUARY,2022,SUN,364900.81442,198241.36638,45.992847442627003,-112.53671264648401,0.133
C228369,A,000+0.246,BUTTE,SILVER BOW,OCTOBER,2022,WED,364722.34810,198264.25304,45.992991000000004,-112.539027,0.246
C228369,A,000+0.227,BUTTE,SILVER BOW,DECEMBER,2023,FRI,364752.43900,198265.63200,45.9930182116781,-112.539117511556,0.227
