CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C229017,A,000+0.400,NOT IN CITY LIMITS,GALLATIN,MAY,2019,FRI,468882.07305,170139.49307,45.768232091396598,-111.186382993859,0.4
C229017,A,000+0.409,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2019,SAT,468896.47041,170139.18391,,,0.409
C229017,A,000+0.428,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2019,TUE,468928.72758,170140.42454,,,0.428
C229017,A,000+0.452,BELGRADE,GALLATIN,DECEMBER,2019,MON,468966.01984,170126.34045,45.768129999999999,-111.1853,0.452
C229017,A,000+0.000,NOT IN CITY LIMITS,GALLATIN,JANUARY,2020,THU,468974.16900,170060.05300,45.7670756434257,-111.18535089611,0.0
C229017,A,000+0.047,BELGRADE,GALLATIN,DECEMBER,2020,WED,468955.25774,169987.65838,45.76688,-111.1854,0.047
C229017,A,000+0.445,NOT IN CITY LIMITS,GALLATIN,MAY,2020,SUN,468953.99260,170131.10962,,,0.445
C229017,A,000+0.387,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2021,SAT,468862.33545,170142.84895,45.7682584641462,-111.186637701283,0.387
C229017,A,001+0.062,NOT IN CITY LIMITS,GALLATIN,JUNE,2021,FRI,469290.54254,169957.76373,45.7666758424975,-111.181080891308,1.062
C229017,A,000+0.408,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2022,FRI,468895.05328,170140.98552,45.768248036107103,-111.18621651234599,0.408
C229017,A,000+0.392,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2023,FRI,468869.09254,170141.69397,45.768249380657402,-111.186550501447,0.392
C229017,A,000+0.525,NOT IN CITY LIMITS,GALLATIN,JANUARY,2023,SAT,469070.34345,170075.28345,45.767690762313201,-111.183944534571,0.525
