CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,FEBRUARY,2020,SAT,673394.56122,167107.68531,,,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,JUNE,2021,SUN,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,DECEMBER,2022,SAT,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,NOVEMBER,2022,TUE,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,OCTOBER,2022,SUN,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,OCTOBER,2022,FRI,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,SEPTEMBER,2022,THU,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,JULY,2023,THU,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,MARCH,2023,TUE,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.002,BILLINGS,YELLOWSTONE,MAY,2023,FRI,673394.56122,167107.68531,45.749670000000002,-108.5564,0.002
C229131,A,000+0.006,BILLINGS,YELLOWSTONE,JUNE,2023,THU,673400.81020,167105.53832,45.749650000000003,-108.55632,0.006
