CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C229126,A,000+0.023,NOT IN CITY LIMITS,YELLOWSTONE,SEPTEMBER,2019,SUN,680791.07568,172256.65797,,,0.023
C229126,A,000+0.096,NOT IN CITY LIMITS,YELLOWSTONE,MARCH,2019,THU,680904.93545,172283.09246,,,0.096
C229126,A,000+0.189,NOT IN CITY LIMITS,YELLOWSTONE,OCTOBER,2019,MON,681049.46042,172317.22937,,,0.189
C229126,A,000+0.235,NOT IN CITY LIMITS,YELLOWSTONE,APRIL,2020,WED,681118.68600,172343.82000,45.7959970621049,-108.456018854328,0.235
C229126,A,000+0.234,NOT IN CITY LIMITS,YELLOWSTONE,FEBRUARY,2021,MON,681121.32674,172347.07608,45.7959970621049,-108.456018854328,0.234
C229126,A,000+0.240,NOT IN CITY LIMITS,YELLOWSTONE,DECEMBER,2021,SUN,681123.21000,172351.42100,45.7959970621049,-108.456018854328,0.24
C229126,A,000+0.246,NOT IN CITY LIMITS,YELLOWSTONE,APRIL,2021,THU,681138.24557,172357.72827,45.7960348352766,-108.455954591452,0.246
C229126,A,000+0.246,NOT IN CITY LIMITS,YELLOWSTONE,JUNE,2021,MON,681137.46688,172359.81307,45.7960536913708,-108.455964252522,0.246
C229126,A,000+0.129,NOT IN CITY LIMITS,YELLOWSTONE,JUNE,2022,WED,680956.31191,172300.14250,45.795538380832099,-108.458305198511,0.129
C229126,A,000+0.225,NOT IN CITY LIMITS,YELLOWSTONE,FEBRUARY,2022,TUE,681102.94613,172338.04291,45.7958619063375,-108.456412127554,0.225
C229126,A,000+0.235,NOT IN CITY LIMITS,YELLOWSTONE,SEPTEMBER,2022,MON,681119.09235,172343.17903,45.795906193653501,-108.45620351081899,0.235
C229126,A,000+0.205,NOT IN CITY LIMITS,YELLOWSTONE,NOVEMBER,2023,WED,681074.90083,172321.91819,45.7957201507623,-108.456775719619,0.205
C229126,A,000+0.213,NOT IN CITY LIMITS,YELLOWSTONE,DECEMBER,2023,SUN,681084.78990,172332.09489,45.795810552739198,-108.456646743731,0.213
C229126,A,000+0.234,NOT IN CITY LIMITS,YELLOWSTONE,JANUARY,2023,WED,681116.30549,172345.23604,45.795925040396,-108.456239013771,0.234
C229126,A,000+0.239,NOT IN CITY LIMITS,YELLOWSTONE,MARCH,2023,TUE,681123.21287,172347.99358,45.795949029042497,-108.45614967092899,0.239
