CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C229224,A,000+0.028,NOT IN CITY LIMITS,MISSOULA,FEBRUARY,2019,SUN,261017.99563,300514.83701,,,0.028
C229224,A,000+0.161,MISSOULA,MISSOULA,MARCH,2019,FRI,260869.12395,300360.60858,,,0.161
C229224,A,000+0.220,NOT IN CITY LIMITS,MISSOULA,OCTOBER,2019,THU,260788.96121,300312.78526,,,0.22
C229224,A,000+0.236,NOT IN CITY LIMITS,MISSOULA,FEBRUARY,2019,WED,260769.02918,300295.04778,,,0.236
C229224,A,000+0.001,NOT IN CITY LIMITS,MISSOULA,AUGUST,2020,SUN,261062.62400,300514.28000,46.8677218675301,-113.950531295883,0.001
C229224,A,000+0.168,MISSOULA,MISSOULA,JUNE,2020,MON,260862.00551,300350.77088,,,0.168
C229224,A,000+0.182,MISSOULA,MISSOULA,AUGUST,2020,TUE,260842.30217,300341.83443,,,0.182
C229224,A,000+0.225,NOT IN CITY LIMITS,MISSOULA,AUGUST,2021,FRI,260784.39564,300305.13352,46.865712051471903,-113.954031590246,0.225
C229224,A,000+0.091,NOT IN CITY LIMITS,MISSOULA,APRIL,2022,SAT,260948.75716,300437.56453,46.8669861735018,-113.95197683573799,0.091
C229224,A,000+0.160,NOT IN CITY LIMITS,MISSOULA,MAY,2023,MON,260873.52720,300358.45424,46.8662367959869,-113.952903538599,0.16
C229224,A,000+0.190,NOT IN CITY LIMITS,MISSOULA,AUGUST,2023,MON,260832.07696,300334.25457,46.865998131152899,-113.953428581936,0.19
