CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C229287,A,000+0.143,NOT IN CITY LIMITS,YELLOWSTONE,MARCH,2019,MON,661988.16761,159704.41709,,,0.143
C229287,A,000+0.232,NOT IN CITY LIMITS,YELLOWSTONE,OCTOBER,2019,TUE,661855.55452,159652.20923,,,0.232
C229287,A,000+0.251,NOT IN CITY LIMITS,YELLOWSTONE,AUGUST,2019,MON,661822.99257,159648.55969,45.6835710839953,-108.70628834074,0.251
C229287,A,000+0.204,NOT IN CITY LIMITS,YELLOWSTONE,AUGUST,2020,MON,661897.50420,159666.38457,,,0.204
C229287,A,000+0.241,NOT IN CITY LIMITS,YELLOWSTONE,AUGUST,2020,MON,661839.61750,159650.70333,,,0.241
C229287,A,000+0.216,NOT IN CITY LIMITS,YELLOWSTONE,JANUARY,2021,TUE,661876.12763,159662.98416,45.6838191989547,-108.705446964252,0.216
C229287,A,000+0.136,NOT IN CITY LIMITS,YELLOWSTONE,OCTOBER,2022,WED,661998.84383,159709.30965,45.684224906615498,-108.70386522436,0.136
C229287,A,000+0.160,NOT IN CITY LIMITS,YELLOWSTONE,FEBRUARY,2022,FRI,661964.15444,159690.13916,45.684055547547302,-108.704313145144,0.16
C229287,A,000+0.241,NOT IN CITY LIMITS,YELLOWSTONE,JULY,2022,WED,661840.46743,159651.49619,45.683719063698497,-108.70590634196699,0.241
C229287,A,000+0.261,NOT IN CITY LIMITS,YELLOWSTONE,NOVEMBER,2022,SUN,661811.36800,159634.90400,45.6835710839953,-108.70628834074,0.261
C229287,A,000+0.143,NOT IN CITY LIMITS,YELLOWSTONE,FEBRUARY,2023,THU,661988.63228,159702.58363,45.684165307494602,-108.703997220823,0.143
C229287,A,000+0.163,NOT IN CITY LIMITS,YELLOWSTONE,MARCH,2023,MON,661959.78396,159690.79476,45.6840618474263,-108.704369177445,0.163
C229287,A,000+0.236,NOT IN CITY LIMITS,YELLOWSTONE,JULY,2023,SAT,661849.09076,159649.52965,45.683700578181401,-108.705795873404,0.236
C229287,A,000+0.250,NOT IN CITY LIMITS,YELLOWSTONE,JANUARY,2023,WED,661827.90589,159642.97678,45.683643536298803,-108.706068742599,0.25
C229287,A,000+0.255,NOT IN CITY LIMITS,YELLOWSTONE,JUNE,2023,FRI,661821.20503,159638.30954,45.683602143123103,-108.706155389781,0.255
C229287,A,000+0.257,NOT IN CITY LIMITS,YELLOWSTONE,OCTOBER,2023,WED,661818.03749,159637.97797,45.683599447977699,-108.706196104404,0.257
