CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000226,A,003+0.704,NOT IN CITY LIMITS,CASCADE,JULY,2019,TUE,466962.74418,351116.82722,,,3.7039999999999997
C000226,A,008+0.979,NOT IN CITY LIMITS,CASCADE,OCTOBER,2019,WED,466836.23648,343682.86695,,,8.979
C000226,A,012+0.824,NOT IN CITY LIMITS,CASCADE,JULY,2019,THU,468836.71178,338658.10430,,,12.824
C000226,A,005+0.601,NOT IN CITY LIMITS,CASCADE,OCTOBER,2020,FRI,466532.52376,348182.10006,,,5.601
C000226,A,014+0.522,NOT IN CITY LIMITS,CASCADE,FEBRUARY,2020,THU,466902.31177,336811.26942,,,14.522
C000226,A,003+0.186,CASCADE,CASCADE,JANUARY,2021,SUN,466961.12828,351903.57183,47.4034651389557,-111.263713737876,3.186
C000226,A,004+0.560,NOT IN CITY LIMITS,CASCADE,NOVEMBER,2021,FRI,466966.60993,349691.03746,47.383558903746497,-111.26298099399899,4.5600000000000005
C000226,A,009+0.632,NOT IN CITY LIMITS,CASCADE,SEPTEMBER,2021,WED,467651.14999,343021.01212,47.323682587348799,-111.25193562832,9.632
C000226,A,014+0.518,NOT IN CITY LIMITS,CASCADE,FEBRUARY,2021,SUN,466895.39553,336814.26336,47.26768307,-111.26009044,14.518
C000226,A,014+0.522,NOT IN CITY LIMITS,CASCADE,MARCH,2021,FRI,466902.60800,336808.39800,47.2675377994002,-111.260353686105,14.522
C000226,A,011+0.400,NOT IN CITY LIMITS,CASCADE,MAY,2022,SUN,467648.99183,340193.08550,47.298237125058101,-111.251127417896,11.4
C000226,A,001+0.680,NOT IN CITY LIMITS,CASCADE,MARCH,2023,THU,466147.01374,354114.44800,47.423191909651997,-111.275167038538,1.6800000000000002
C000226,A,001+0.699,NOT IN CITY LIMITS,CASCADE,SEPTEMBER,2023,SUN,466154.95666,354085.17437,47.422930142401803,-111.275052938371,1.6989999999999998
C000226,A,014+0.996,NOT IN CITY LIMITS,CASCADE,FEBRUARY,2023,WED,466224.61436,336972.37876,47.268969772077398,-111.269004627558,14.996
