CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C008102,A,001+0.964,MISSOULA,MISSOULA,FEBRUARY,2019,FRI,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,JANUARY,2019,WED,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,OCTOBER,2019,TUE,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,003+0.314,MISSOULA,MISSOULA,MAY,2019,MON,256457.41600,300697.41200,46.8670122369781,-114.011316589997,3.314
C008102,A,001+0.964,MISSOULA,MISSOULA,OCTOBER,2019,TUE,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,003+0.307,MISSOULA,MISSOULA,APRIL,2019,TUE,256446.52900,300698.18200,,,3.307
C008102,A,001+0.964,MISSOULA,MISSOULA,OCTOBER,2019,THU,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,NOVEMBER,2019,MON,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,MAY,2019,WED,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,MAY,2019,WED,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,003+0.106,MISSOULA,MISSOULA,SEPTEMBER,2019,FRI,256124.05300,300715.57100,,,3.106
C008102,A,001+0.964,MISSOULA,MISSOULA,MARCH,2019,TUE,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,002+0.968,MISSOULA,MISSOULA,SEPTEMBER,2019,WED,255902.00400,300726.07500,46.8669813399865,-114.018510642852,2.968
C008102,A,001+0.964,MISSOULA,MISSOULA,APRIL,2019,TUE,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,APRIL,2019,FRI,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,AUGUST,2019,THU,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,JUNE,2019,THU,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,DECEMBER,2019,MON,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,JANUARY,2019,WED,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,JANUARY,2019,WED,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
C008102,A,001+0.964,MISSOULA,MISSOULA,JANUARY,2019,THU,254288.39353,300814.57295,46.866934422817,-114.039645237832,1.964
