CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C221114,D,000+0.126,KALISPELL,FLATHEAD,NOVEMBER,2019,TUE,241710.96230,453634.99496,,,0.126
C221114,A,000+0.805,NOT IN CITY LIMITS,FLATHEAD,MAY,2019,THU,241961.52279,454415.82020,48.24032522668,-114.325222590448,0.805
C221114,A,000+0.805,NOT IN CITY LIMITS,FLATHEAD,AUGUST,2019,SAT,241962.79045,454415.23428,48.24032522668,-114.325222590448,0.805
C221114,D,000+0.011,KALISPELL,FLATHEAD,FEBRUARY,2019,SAT,241532.11200,453673.84100,48.2331380991466,-114.330626304673,0.011
C221114,D,000+0.800,NOT IN CITY LIMITS,FLATHEAD,APRIL,2019,MON,241948.06256,454423.47690,,,0.8
C221114,D,000+0.192,KALISPELL,FLATHEAD,MAY,2020,SAT,241818.62160,453631.84949,,,0.192
C221114,A,000+0.813,NOT IN CITY LIMITS,FLATHEAD,APRIL,2020,MON,241963.39500,454427.79500,48.24032522668,-114.325222590448,0.813
C221114,A,000+0.812,NOT IN CITY LIMITS,FLATHEAD,AUGUST,2020,FRI,241964.88100,454425.98800,48.24032522668,-114.325222590448,0.812
C221114,A,000+0.810,NOT IN CITY LIMITS,FLATHEAD,JUNE,2020,FRI,241963.55100,454423.20900,48.24032522668,-114.325222590448,0.81
C221114,D,000+0.006,KALISPELL,FLATHEAD,JANUARY,2020,SAT,241523.23597,453676.05755,,,0.006
C221114,A,000+0.824,NOT IN CITY LIMITS,FLATHEAD,OCTOBER,2021,TUE,241966.74400,454446.06300,48.24032522668,-114.325222590448,0.824
C221114,D,000+0.003,KALISPELL,FLATHEAD,NOVEMBER,2021,WED,241518.77900,453676.53100,48.2331380991466,-114.330626304673,0.003
C221114,A,000+0.822,NOT IN CITY LIMITS,FLATHEAD,SEPTEMBER,2021,SAT,241962.52700,454442.83000,48.24032522668,-114.325222590448,0.822
C221114,A,000+0.657,KALISPELL,FLATHEAD,FEBRUARY,2021,WED,242001.55648,454193.14696,48.2381423384498,-114.324369201526,0.657
C221114,A,000+0.821,NOT IN CITY LIMITS,FLATHEAD,SEPTEMBER,2021,FRI,241966.69495,454440.25505,48.2403419491962,-114.325042682911,0.821
C221114,D,000+0.813,KALISPELL,FLATHEAD,DECEMBER,2021,MON,241954.77200,454444.25000,48.24032522668,-114.325222590448,0.813
C221114,D,000+0.789,NOT IN CITY LIMITS,FLATHEAD,JANUARY,2022,SAT,241956.86440,454405.38458,48.240023383764999,-114.325145916764,0.789
C221114,A,000+0.807,NOT IN CITY LIMITS,FLATHEAD,MARCH,2022,THU,241964.18927,454418.75254,48.24032522668,-114.325222590448,0.807
C221114,A,000+0.209,KALISPELL,FLATHEAD,AUGUST,2022,TUE,241845.05300,453620.27600,0,0,0.209
C221114,D,000+0.323,KALISPELL,FLATHEAD,SEPTEMBER,2022,TUE,241982.74900,453694.42300,0,0,0.323
C221114,D,000+0.002,KALISPELL,FLATHEAD,AUGUST,2022,WED,241516.78000,453676.25600,48.2331380991466,-114.330626304673,0.002
C221114,D,000+0.001,KALISPELL,FLATHEAD,NOVEMBER,2022,WED,241515.37000,453676.72800,48.2331380991466,-114.330626304673,0.001
C221114,D,000+0.000,KALISPELL,FLATHEAD,DECEMBER,2022,THU,241514.49700,453676.60300,48.2331380991466,-114.330626304673,0.0
C221114,D,000+0.000,KALISPELL,FLATHEAD,NOVEMBER,2022,FRI,241514.74500,453677.03600,48.2331380991466,-114.330626304673,0.0
C221114,D,000+0.000,KALISPELL,FLATHEAD,NOVEMBER,2022,MON,241514.72200,453676.58100,48.2331380991466,-114.330626304673,0.0
C221114,D,000+0.000,KALISPELL,FLATHEAD,NOVEMBER,2022,SAT,241514.66600,453676.59200,48.2331380991466,-114.330626304673,0.0
C221114,D,000+0.318,KALISPELL,FLATHEAD,FEBRUARY,2023,TUE,241981.94200,453687.02300,0,0,0.318
C221114,D,000+0.000,KALISPELL,FLATHEAD,MARCH,2023,FRI,241514.70300,453676.50000,48.2331380991466,-114.330626304673,0.0
C221114,D,000+0.000,KALISPELL,FLATHEAD,OCTOBER,2023,THU,241514.28700,453676.70500,48.2331380991466,-114.330626304673,0.0
C221114,D,000+0.000,KALISPELL,FLATHEAD,SEPTEMBER,2023,SUN,241514.45900,453676.48000,48.2331380991466,-114.330626304673,0.0
C221114,A,000+0.798,KALISPELL,FLATHEAD,JUNE,2023,FRI,241959.16763,454403.58330,48.240008484800903,-114.32511346232801,0.798
C221114,D,000+0.001,KALISPELL,FLATHEAD,JANUARY,2023,TUE,241515.51700,453675.79400,48.2331380991466,-114.330626304673,0.001
C221114,D,000+0.001,KALISPELL,FLATHEAD,JANUARY,2023,FRI,241515.51700,453675.79400,48.2331380991466,-114.330626304673,0.001
C221114,A,000+0.193,KALISPELL,FLATHEAD,OCTOBER,2023,THU,241819.12800,453620.76300,0,0,0.193
C221114,A,000+0.159,KALISPELL,FLATHEAD,OCTOBER,2023,MON,241763.83000,453624.68100,0,0,0.159
C221114,D,000+0.328,KALISPELL,FLATHEAD,MAY,2023,TUE,241988.04700,453699.31800,0,0,0.328
C221114,D,000+0.000,KALISPELL,FLATHEAD,APRIL,2023,FRI,241514.70300,453676.50000,48.2331380991466,-114.330626304673,0.0
