CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C005240,0.0,5305.5,0.0,07-2A-130,CASCADE,07-2A-130,000+0.135,000+0.136,U-5240,1,5305.5,0.0
C000090,7.556,0.0,0.0,47--,SILVER BOW,47--,219+0.215,226+0.731,I-90,24,0.0,0.0
C002903,0.05,1.0,0.05,060167A,LEWIS AND CLARK,060167A,004+0.088,004+0.138,L-25-49,4,0.25,0.0125
C003016,0.058,3.0,0.17400000000000002,059394J,BLAINE,059394J,000+0.706,000+0.764,L-3-16,1,3.0,0.17400000000000002
C003948,0.58252973,1.0,0.58252973,07-2-097,CASCADE,07-2-097,001+0.724,002+0.306,L-7-1041,1,1.0,0.58252973
C246970,0.03,20.333333333333332,0.61,091092N,SANDERS,091092N,000+0.000,000+0.030,L-45-906,1,20.333333333333332,0.61
C228431,0.004,1128.3333333333333,4.513333333333333,07-2-051,CASCADE,07-2-051,000+0.236,000+0.240,R015S280OFA,7,161.19047619047618,0.6447619047619046
C001027,0.00383339,6389.0,24.49152871,56-4A-275,YELLOWSTONE,56-4A-275,002+0.352,002+0.356,U-1027,30,212.96666666666667,0.8163842903333334
C228369,0.004,2434.3333333333335,9.737333333333334,47-1-038,SILVER BOW,47-1-038,000+0.246,000+0.250,R015S126OFA,11,221.3030303030303,0.8852121212121212
C000426,6.5297072,1.0,6.5297072,14-6-033,FERGUS,14-6-033,016+0.914,023+0.420,S-426,6,0.16666666666666666,1.0882845333333333
C001821,0.002,1635.6666666666667,3.2713333333333336,914157G,SILVER BOW,914157G,001+0.132,001+0.134,U-1821,3,545.2222222222223,1.0904444444444445
C229173,0.00358886,2378.0,8.53430908,32-3-059,MISSOULA,32-3-059,000+0.000,000+0.004,R090W096ONA,6,396.3333333333333,1.4223848466666666
C228279,0.00363342,831.0,3.01937202,07-2-054,CASCADE,07-2-054,000+0.000,000+0.004,R015N280ONA,2,415.5,1.50968601
C228397,0.00484022,1562.0,7.56042364,25-7-007,LEWIS AND CLARK,25-7-007,000+0.237,000+0.242,R015S193OFA,5,312.4,1.512084728
C228215,0.004,2587.3333333333335,10.349333333333334,47-1-037,SILVER BOW,47-1-037,000+0.000,000+0.004,R015N126ONA,6,431.22222222222223,1.724888888888889
C005802,0.00356227,16592.0,59.10518384,25-7C-028,LEWIS AND CLARK,25-7C-028,001+0.591,001+0.595,U-5802,29,572.1379310344828,2.038109787586207
C001018,0.00356392,14376.0,51.23491392,56-4A-246,YELLOWSTONE,56-4A-246,001+0.991,001+0.995,U-1018,24,599.0,2.13478808
C008110,0.006,1844.6666666666667,11.068000000000001,32-3A-217,MISSOULA,32-3A-217,000+0.464,000+0.470,U-8110,5,368.93333333333334,2.2136000000000005
C006733,0.004,2996.6666666666665,11.986666666666666,15-7B-092,FLATHEAD,15-7B-092,000+0.185,000+0.189,U-6733,5,599.3333333333333,2.397333333333333
C229036,0.026,93.33333333333333,2.4266666666666663,22-3-030,SILVER BOW,22-3-030,000+0.000,000+0.026,R090E233OFA,1,93.33333333333333,2.4266666666666663
C001027,0.00775849,3886.0,30.14949214,56-4A-276,YELLOWSTONE,56-4A-276,002+0.614,002+0.621,U-1027,12,323.8333333333333,2.5124576783333334
C229240,0.03676846,69.0,2.5370237400000004,22-3-033,SILVER BOW,22-3-033,000+0.268,000+0.305,R090W233ONA,1,69.0,2.5370237400000004
C003207,0.369,15.0,5.535,059541U,VALLEY,059541U,000+0.000,000+0.369,L-53-1389,2,7.5,2.7675
C005805,0.00499987,6421.0,32.10416527,25-7C-087,LEWIS AND CLARK,25-7C-087,001+0.264,001+0.269,U-5805,11,583.7272727272727,2.9185604790909094
C229047,0.171,17.25,2.9497500000000003,34-2-036,PARK,34-2-036,000+0.000,000+0.171,R090E352OFA,1,17.25,2.9497500000000003
C228572,0.256,12.0,3.072,52-1-019,TREASURE,52-1-019,000+0.000,000+0.256,R094W063ONA,1,12.0,3.072
C005209,0.00479086,1934.0,9.26552324,07-2A-078,CASCADE,07-2A-078,000+0.000,000+0.005,U-5209,3,644.6666666666666,3.0885077466666666
C228201,0.239,13.0,3.1069999999999998,47-2-011,SILVER BOW,47-2-011,000+0.000,000+0.239,R015N099OFA,1,13.0,3.1069999999999998
C245954,0.03079177,102.0,3.14076054,07-3-045,CASCADE,07-3-045,000+0.000,000+0.031,L-7-3492,1,102.0,3.14076054
C229226,0.004,2376.5,9.506,32-3-081,MISSOULA,32-3-081,000+0.000,000+0.004,R090W105ONA,3,792.1666666666666,3.1686666666666667
C228930,0.232,41.5,9.628,31-1-049,MINERAL,31-1-049,000+0.000,000+0.232,R090E005ONA,3,13.833333333333334,3.2093333333333334
C003001,0.03971875,83.0,3.29665625,03-3-035,BLAINE,03-3-035,000+0.000,000+0.040,L-3-1,1,83.0,3.29665625
C005201,0.006,7723.666666666667,46.342000000000006,07-2A-037,CASCADE,07-2A-037,001+0.885,001+0.892,U-5201,13,594.1282051282052,3.5647692307692314
C008106,0.008,7646.0,61.168,32-3A-228,MISSOULA,32-3A-228,000+0.332,000+0.341,U-8106,17,449.7647058823529,3.5981176470588236
C014346,0.90064611,4.0,3.60258444,14-3-022,FERGUS,14-3-022,001+0.600,002+0.501,L-14-346,1,4.0,3.60258444
